,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09
00:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:30,0.0,0.007,0.0003333333333333333,0.0,0.0,0.0,0.0,0.0
06:00,0.0,0.028,0.005333333333333333,0.073,0.013333333333333332,0.02266666666666667,0.0,0.005333333333333333
06:30,0.0,0.02333333333333333,0.0033333333333333335,0.011000000000000001,0.007333333333333333,0.024,0.0,-0.002
07:00,0.0,0.003,0.006333333333333333,0.0006666666666666665,0.0026666666666666666,-0.003333333333333333,-0.0026666666666666666,0.0
07:30,0.0,0.0,0.005,0.010333333333333333,0.0,-0.008666666666666666,0.0,0.0
08:00,0.0,0.012333333333333333,-0.002,0.003,0.0,0.004,0.0,0.0
08:30,0.0,0.029,0.0,-0.001,0.0,0.051333333333333335,-0.0026666666666666666,0.0
09:00,0.0,0.095,0.0,0.0,-0.001,0.007,0.008,0.006666666666666667
09:30,0.0,0.051000000000000004,0.003,0.004,0.002,0.005,0.04,0.04666666666666666
10:00,0.015000000000000001,0.0,0.14433333333333334,0.0,0.07566666666666667,-0.001,0.178,0.10333333333333333
10:30,0.12333333333333334,0.0,0.20299999999999999,0.0,0.021,-0.001,0.21266666666666667,0.06133333333333334
11:00,0.095,0.0,0.06266666666666666,0.0,0.04633333333333334,-0.001,0.20433333333333334,0.06666666666666667
11:30,0.048666666666666664,0.0,0.22866666666666668,0.07566666666666667,0.23933333333333331,-0.001,0.2326666666666667,
12:00,0.05733333333333334,0.0,0.08566666666666668,0.041,0.08933333333333333,-0.006,0.225,
12:30,0.06333333333333334,0.0,0.22666666666666666,0.2326666666666667,0.041,-0.002,0.18133333333333335,
13:00,0.06833333333333334,0.0,0.17933333333333332,0.10933333333333332,0.128,-0.001,0.17333333333333334,
13:30,0.0023333333333333335,0.0,0.06833333333333333,0.053000000000000005,0.0,-0.007,0.024333333333333332,
14:00,0.0,0.0,0.003,0.045000000000000005,0.053000000000000005,-0.0036666666666666666,0.09366666666666666,
14:30,0.0,0.0,0.051333333333333335,0.034333333333333334,0.07266666666666667,0.0,0.09433333333333334,
15:00,0.0,0.0,0.0,0.0,0.0036666666666666666,0.0,-0.002,
15:30,0.0,0.0,0.0,0.0,-0.001,-0.001,-0.001,
16:00,0.0,0.0,0.0,-0.003,0.0,0.0,-0.0036666666666666666,
16:30,0.0,0.0,0.001,0.0003333333333333333,-0.005,0.0,-0.0023333333333333335,
17:00,0.0,0.0,0.0003333333333333333,0.0,0.0,0.0,0.0,
17:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20:30,0.0,-1.453,-1.45,-1.443,-1.4443333333333332,-1.449,-1.4983333333333335,
21:00,0.0,-1.4909999999999999,-1.4886666666666666,-1.4986666666666666,-1.5,-1.5083333333333333,-1.5063333333333333,
21:30,0.0,-1.4996666666666667,-1.5,-1.5030000000000001,-1.51,-1.4973333333333334,-1.4973333333333334,
22:00,0.0,-1.5036666666666667,-1.5053333333333332,-1.5053333333333332,-1.4929999999999999,-1.505,-1.5010000000000001,
22:30,0.0,-0.050333333333333334,-0.04933333333333333,-0.04933333333333333,-0.049666666666666665,-0.050666666666666665,-0.050333333333333334,
23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
