,2025-03-24,2025-03-25,2025-09-29,2025-09-30,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09
00:30,,,-0.029999999999999995,-0.01,-0.01,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.03033333333333333,-0.029999999999999995,-0.04,-0.04,-0.04
01:00,,,-0.03033333333333333,-0.01,-0.01,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.030999999999999996,-0.029999999999999995,-0.04,-0.04,-0.04
01:30,,,-0.03033333333333333,-0.01,-0.01,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.030666666666666665,-0.029999999999999995,-0.04,-0.04,-0.04
02:00,,,-0.029999999999999995,-0.01,-0.01,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.030666666666666665,-0.029999999999999995,-0.04,-0.04,-0.04
02:30,,,-0.029999999999999995,-0.01,-0.01,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.03033333333333333,-0.029999999999999995,-0.04,-0.04,-0.04
03:00,,,-0.029999999999999995,-0.01,-0.01,-0.029999999999999995,-0.029999999999999995,-0.030666666666666665,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,-0.04
03:30,,,-0.029999999999999995,-0.01,-0.01,-0.029999999999999995,-0.029999999999999995,-0.03033333333333333,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,-0.04
04:00,,,-0.029999999999999995,-0.01,-0.01,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,-0.04
04:30,,,-0.029999999999999995,-0.01,-0.01,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,-0.04
05:00,,,-0.029999999999999995,-0.01,-0.01,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,-0.04
05:30,,,-0.029999999999999995,-0.01,-0.01,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,-0.04
06:00,,,-0.029999999999999995,-0.01,-0.01,-1.3076666666666665,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,-0.04
