,2025-03-26,2025-03-28,2025-03-31,2025-04-03,2025-04-05,2025-04-07,2025-04-10,2025-04-12,2025-04-13,2025-04-15,2025-04-17,2025-04-18,2025-04-21,2025-04-22,2025-04-28,2025-05-02,2025-05-03,2025-05-05,2025-05-06,2025-05-07,2025-05-10,2025-05-11,2025-05-12,2025-05-13,2025-05-14,2025-05-16,2025-05-18,2025-05-19,2025-05-24,2025-05-25,2025-05-26,2025-05-28,2025-06-02,2025-06-03,2025-06-07,2025-06-08,2025-06-09,2025-06-14,2025-06-24,2025-06-30,2025-07-01,2025-07-03,2025-07-05,2025-07-07,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-30,2025-08-01,2025-08-04,2025-08-06,2025-08-10,2025-08-11,2025-08-13,2025-08-17,2025-08-18,2025-08-23,2025-08-26,2025-08-27,2025-08-29,2025-09-02,2025-09-07
00:30,-0.07,-0.06966666666666668,-0.03,-0.04,-0.035333333333333335,-0.07,-0.059666666666666666,-0.07,,-0.05,-0.05999999999999999,-0.07,-0.06,-0.05999999999999999,-0.07,-0.07,-0.07,-0.06964285714285715,-0.07,-0.05999999999999999,-0.07,-0.07,-0.06964285714285715,-0.06766666666666668,-0.07,-0.07,-0.07,-0.07,-0.07,-0.06766666666666668,-0.07,-0.07,-0.06535714285714286,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.069,-0.07,-0.07,-0.07,-0.07,-0.066,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07
01:00,-0.06966666666666668,-0.07,-0.029999999999999995,-0.04,-0.029999999999999995,-0.07,-0.059333333333333335,-0.07,-0.07,-0.048666666666666664,-0.05999999999999999,-0.07,-0.05999999999999999,-0.05999999999999999,-0.07,-0.07,-0.07,-0.07,-0.07,-0.05999999999999999,-0.07,-0.07,-0.07,-0.066,-0.06766666666666668,-0.07,-0.07,-0.07,-0.06933333333333333,-0.06666666666666667,-0.07,-0.07,-0.06366666666666668,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.06933333333333333,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07
01:30,-0.06933333333333333,-0.07,-0.029999999999999995,-0.04,-0.029999999999999995,-0.07,-0.05633333333333333,,,-0.04700000000000001,-0.05999999999999999,-0.07,-0.05999999999999999,-0.05999999999999999,-0.07,-0.07,-0.07,-0.06966666666666668,-0.07,-0.060333333333333336,-0.07,-0.07,-0.07,-0.06266666666666666,-0.06566666666666668,-0.07,-0.07,-0.07,-0.06966666666666668,-0.067,-0.07,-0.07,-0.06233333333333334,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.06966666666666668,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,,-0.06966666666666668,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07
02:00,-0.06833333333333334,-0.06966666666666668,-0.029999999999999995,-0.04,-0.029999999999999995,-0.06933333333333333,-0.052333333333333336,,,-0.044333333333333336,-0.05999999999999999,-0.07,-0.059666666666666666,-0.05999999999999999,-0.07,-0.07,-0.07,-0.06966666666666668,-0.07,-0.06066666666666666,-0.07,-0.07,-0.07,-0.05999999999999999,-0.065,-0.07,-0.07,-0.07,-0.06933333333333333,-0.06733333333333333,-0.07,-0.07,-0.060333333333333336,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.06933333333333333,-0.07,-0.07,-0.07,-0.069,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07
02:30,-0.06833333333333334,-0.06866666666666667,-0.029999999999999995,-0.04,-0.029999999999999995,-0.066,-0.050333333333333334,,,-0.045000000000000005,-0.05999999999999999,-0.07,-0.05733333333333333,-0.059666666666666666,-0.07,-0.07,-0.07,-0.06966666666666668,-0.07,-0.05999999999999999,-0.07,-0.07,-0.07,-0.060333333333333336,-0.06233333333333334,-0.07,-0.07,-0.07,-0.06833333333333334,-0.06533333333333333,-0.07,-0.07,-0.060333333333333336,-0.07,-0.07,-0.07,-0.07,-0.07,-0.06966666666666668,-0.07,-0.07,-0.069,-0.07,-0.07,-0.07,-0.07,-0.06933333333333333,-0.07,-0.07,-0.07,-0.07,-0.06966666666666668,-0.07,-0.07,-0.07,-0.07,-0.07,,-0.06966666666666668,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07
03:00,-0.06566666666666668,-0.069,-0.029999999999999995,-0.04,-0.029999999999999995,-0.06633333333333334,-0.05,,,-0.044000000000000004,-0.056,-0.07,-0.05433333333333334,-0.058333333333333334,-0.07,-0.07,-0.07,-0.069,-0.07,-0.060333333333333336,-0.07,-0.07,-0.07,-0.05999999999999999,-0.061000000000000006,-0.07,-0.07,-0.07,-0.06933333333333333,-0.063,-0.07,-0.07,-0.05999999999999999,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.069,-0.07,-0.07,-0.07,-0.07,-0.06866666666666667,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,,-0.06966666666666668,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07
03:30,-0.06166666666666667,-0.06833333333333334,-0.029999999999999995,-0.04,-0.029999999999999995,-0.06333333333333332,-0.05,,,-0.043000000000000003,-0.050333333333333334,-0.07,-0.050666666666666665,-0.05366666666666667,-0.07,-0.07,-0.06966666666666668,-0.07,-0.07,-0.06066666666666666,-0.07,-0.07,-0.06966666666666668,-0.05999999999999999,-0.05999999999999999,-0.06966666666666668,-0.07,-0.07,-0.06866666666666667,-0.06133333333333333,-0.06933333333333333,-0.07,-0.05999999999999999,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.069,-0.07,-0.07,-0.07,-0.07,-0.069,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,,-0.06966666666666668,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07
04:00,-0.06066666666666666,-0.064,-0.029999999999999995,-0.04,-0.029999999999999995,-0.05999999999999999,-0.044000000000000004,,,-0.042,-0.05,-0.07,-0.05,-0.050333333333333334,-0.07,-0.06966666666666668,-0.06833333333333334,-0.067,-0.07,-0.064,-0.07,-0.07,-0.068,-0.05999999999999999,-0.05999999999999999,-0.069,-0.07,-0.07,-0.06966666666666668,-0.06066666666666666,-0.06666666666666667,-0.07,-0.05999999999999999,-0.06966666666666668,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.065,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,,-0.068,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07
04:30,-0.05999999999999999,-0.061000000000000006,-0.029999999999999995,-0.03966666666666666,-0.029999999999999995,-0.05999999999999999,-0.041,,,-0.043000000000000003,-0.05,-0.07,-0.05,-0.04933333333333333,-0.07,-0.06733333333333333,-0.066,-0.06266666666666666,-0.06866666666666667,-0.064,-0.07,-0.07,-0.06333333333333332,-0.05999999999999999,-0.060333333333333336,-0.068,-0.07,-0.07,-0.067,-0.05999999999999999,-0.06199999999999999,-0.07,-0.05999999999999999,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.06966666666666668,-0.06966666666666668,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,,-0.06566666666666668,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.06866666666666667
05:00,-0.05999999999999999,-0.061000000000000006,-0.029999999999999995,-0.04,-0.029999999999999995,-0.060333333333333336,-0.04033333333333333,,,-0.04066666666666666,-0.044333333333333336,-0.06966666666666668,-0.049666666666666665,-0.04666666666666667,-0.07,-0.06566666666666668,-0.06233333333333334,-0.060333333333333336,-0.06933333333333333,-0.06133333333333333,-0.07,-0.07,-0.060333333333333336,-0.05333333333333334,-0.05999999999999999,-0.06566666666666668,-0.07,-0.06666666666666667,-0.06666666666666667,-0.05999999999999999,-0.05999999999999999,-0.07,-0.055,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.06933333333333333,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,,-0.06366666666666668,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.06933333333333333
