,2025-03-24,2025-03-25,2025-03-26,2025-03-27,2025-03-28,2025-03-29,2025-03-30,2025-03-31,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-07-25,2025-07-26,2025-07-27,2025-07-28,2025-07-29,2025-07-30,2025-07-31,2025-08-01,2025-08-02,2025-08-03,2025-08-04,2025-08-05,2025-08-06,2025-08-07,2025-08-08,2025-08-09,2025-08-10,2025-08-11,2025-08-12,2025-08-13,2025-08-14,2025-08-15,2025-08-16,2025-08-17,2025-08-18,2025-08-19,2025-08-20,2025-08-21,2025-08-22,2025-08-25,2025-08-26,2025-08-27,2025-08-28,2025-08-29,2025-08-30,2025-08-31,2025-09-01,2025-09-02,2025-09-03,2025-09-04,2025-09-05,2025-09-06,2025-09-07,2025-09-08,2025-09-09,2025-09-10,2025-09-11,2025-09-12,2025-09-13,2025-09-14,2025-09-15,2025-09-16,2025-09-17,2025-09-18,2025-09-19,2025-09-20,2025-09-21,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-27,2025-09-28,2025-09-29,2025-09-30,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09
00:30,,0.029999999999999995,0.0,0.0,0.0,0.0,0.029999999999999995,0.03,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.022000000000000002,0.0,0.0,0.0,0.0,0.0,-0.010666666666666666,0.0,-0.022333333333333334,-0.04,-0.04,-0.04,-0.04,-0.07,-0.07,-0.05,-0.04,-0.04933333333333333,-0.04,-0.05,-0.04,-0.043000000000000003,-0.05,-0.04,-0.042,-0.05392857142857143,-0.052333333333333336,-0.05999999999999999,-0.06966666666666668,-0.055,-0.07,-0.05,-0.07,-0.04,-0.04,-0.04,-0.041666666666666664,-0.04928571428571429,-0.07,-0.07,-0.04,-0.04,-0.04,-0.04,-0.04,-0.041,-0.041,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.029999999999999995,-0.04,-0.03571428571428571,-0.028,-0.029999999999999995,-0.029999999999999995,-0.033,-0.03066666666666667,-0.020666666666666667,-0.031071428571428573,-0.025666666666666667,-0.02033333333333333,-0.029999999999999995,-0.029999999999999995,-0.029666666666666668,-0.037000000000000005,-0.04,-0.035333333333333335,-0.02,-0.029999999999999995
01:00,,0.029999999999999995,0.0,0.0,0.0,0.0,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.023,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,-0.021666666666666667,-0.04,-0.04,-0.04,-0.04,-0.07,-0.07,-0.049666666666666665,-0.04,-0.05,,-0.048666666666666664,-0.04,-0.041,-0.048666666666666664,-0.04,-0.04,-0.052000000000000005,-0.051666666666666666,-0.059666666666666666,-0.069,-0.050333333333333334,-0.07,-0.05,-0.07,-0.04,-0.04,-0.04,-0.04133333333333333,-0.04833333333333334,-0.07,-0.07,-0.04,-0.04,-0.04,-0.04,-0.04,-0.042333333333333334,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.029999999999999995,-0.04,-0.030666666666666665,-0.020666666666666667,-0.029999999999999995,-0.029999999999999995,-0.03266666666666666,-0.03933333333333333,-0.030666666666666665,-0.03033333333333333,-0.020666666666666667,-0.036000000000000004,-0.029999999999999995,-0.029999999999999995,-0.029666666666666668,-0.03666666666666667,-0.04,-0.032,-0.02,-0.029999999999999995
01:30,,0.029999999999999995,0.0,0.0,0.0,0.0,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.027,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,-0.02033333333333333,-0.04,-0.04,-0.04,-0.04,-0.07,-0.07,-0.04933333333333333,-0.04,-0.04533333333333334,,-0.04633333333333334,-0.04,-0.04033333333333333,-0.04800000000000001,-0.04,-0.04,-0.05,-0.05,-0.058333333333333334,-0.06166666666666667,-0.05,-0.06933333333333333,-0.05,-0.07,-0.04,-0.04,-0.04,-0.04,-0.049,-0.06933333333333333,-0.06866666666666667,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.029999999999999995,-0.04,-0.029999999999999995,-0.02,-0.027666666666666666,-0.029999999999999995,-0.03266666666666666,-0.037333333333333336,-0.03033333333333333,-0.03033333333333333,-0.02,-0.04,-0.029,-0.029999999999999995,-0.026000000000000002,-0.034666666666666665,-0.04,-0.03166666666666666,-0.02,-0.029999999999999995
02:00,,0.029999999999999995,0.0,0.0016666666666666668,0.0,0.0,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029666666666666668,0.0,0.0,0.0,0.0,0.0,-0.010333333333333333,0.0,0.0,-0.04,-0.04,-0.04,-0.04,-0.06933333333333333,-0.07,-0.048666666666666664,-0.04,-0.04066666666666666,,-0.044333333333333336,-0.04,-0.04,-0.04133333333333333,-0.04,-0.04,-0.05,-0.05,-0.057,-0.05999999999999999,-0.05,-0.06733333333333333,-0.05,-0.06933333333333333,-0.04,-0.04,-0.04,-0.04,-0.05,-0.06633333333333334,-0.065,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04033333333333333,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.029999999999999995,-0.04,-0.029999999999999995,-0.02,-0.025,-0.029999999999999995,-0.03166666666666666,-0.034,-0.029999999999999995,-0.029999999999999995,-0.02,-0.04,-0.026000000000000002,-0.029999999999999995,-0.022333333333333334,-0.03666666666666667,-0.04,-0.029999999999999995,-0.02,-0.029999999999999995
02:30,,0.029999999999999995,0.0,0.008666666666666666,0.0,0.0,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,-0.04,-0.04,-0.04,-0.04,-0.06633333333333334,-0.07,-0.04933333333333333,-0.04,-0.04033333333333333,,-0.04066666666666666,-0.04,-0.04,-0.04033333333333333,-0.04,-0.04,-0.05,-0.05,-0.052333333333333336,-0.05999999999999999,-0.049666666666666665,-0.064,-0.05,-0.06633333333333334,-0.04033333333333333,-0.04,-0.04,-0.04,-0.049,-0.06333333333333332,-0.06166666666666667,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.029999999999999995,-0.04,-0.029999999999999995,-0.02,-0.026333333333333334,-0.029999999999999995,-0.03033333333333333,-0.03033333333333333,-0.029999999999999995,-0.029999999999999995,-0.015333333333333334,-0.04,-0.025,-0.028666666666666667,-0.020666666666666667,-0.038000000000000006,-0.04,-0.029999999999999995,-0.02,-0.029999999999999995
03:00,,0.029999999999999995,0.0,0.01,0.0,0.0,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,-0.04,-0.04,-0.04,-0.04,-0.065,-0.07,-0.04666666666666667,-0.04,-0.04,,-0.041,-0.04,-0.04,-0.04,-0.04,-0.04,-0.05,-0.048666666666666664,-0.05,-0.05633333333333333,-0.04833333333333334,-0.06266666666666666,-0.05,-0.06366666666666668,-0.04,-0.04,-0.04,-0.04,-0.04933333333333333,-0.05999999999999999,-0.05999999999999999,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.029999999999999995,-0.04,-0.029999999999999995,-0.019666666666666666,-0.02333333333333333,-0.029666666666666668,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.010333333333333333,-0.039,-0.02333333333333333,-0.025333333333333333,-0.02033333333333333,-0.037000000000000005,-0.04,-0.029999999999999995,-0.02,-0.029999999999999995
03:30,,0.029999999999999995,0.0,0.010333333333333333,0.0,0.0,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.0,0.0,0.0,-1.2743333333333335,0.0,-0.01,0.0,0.0,-0.04,-0.04,-0.04,-0.04,-0.060333333333333336,-0.07,-0.042333333333333334,-0.04,-0.04,,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04933333333333333,-0.043666666666666666,-0.05,-0.051666666666666666,-0.04466666666666667,-0.06366666666666668,-0.05,-0.06066666666666666,-0.04,-0.04,-0.04,-0.04,-0.049666666666666665,-0.059666666666666666,-0.05999999999999999,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.029999999999999995,-0.04,-0.029333333333333333,-0.012333333333333333,-0.027,-0.025666666666666667,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.010333333333333333,-0.03966666666666666,-0.024,-0.022333333333333334,-0.02,-0.034666666666666665,-0.04,-0.029999999999999995,-0.02,-0.029333333333333333
04:00,,0.029999999999999995,0.0,0.011666666666666665,0.0,0.0,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,-0.04,-0.04,-0.04,-0.04,-0.06066666666666666,-0.07,-0.04033333333333333,-0.04,-0.04,,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.05,-0.048666666666666664,-0.05,-0.051000000000000004,-0.04066666666666666,-0.060333333333333336,-0.04933333333333333,-0.05999999999999999,-0.04,-0.04,-0.04,-0.04,-0.04700000000000001,-0.057,-0.05999999999999999,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.029666666666666668,-0.04,-0.028,-0.014,-0.025,-0.023666666666666666,-0.03033333333333333,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.012333333333333333,-0.035666666666666666,-0.02033333333333333,-0.02,-0.02,-0.030666666666666665,-0.04,-0.029999999999999995,-0.02,-0.028333333333333332
04:30,,0.029999999999999995,0.0,0.017666666666666667,0.0,0.0,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,-0.04,-0.04,-0.04,-0.04,-0.05999999999999999,-0.06933333333333333,-0.04,-0.04,-0.04,,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04633333333333334,-0.04633333333333334,-0.05,-0.05,-0.04,-0.05999999999999999,-0.04633333333333334,-0.058,-0.04,-0.04,-0.04,-0.04,-0.045000000000000005,-0.051666666666666666,-0.054000000000000006,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.028333333333333332,-0.04,-0.02333333333333333,-0.012,-0.020666666666666667,-0.022000000000000002,-0.03166666666666666,-0.029999999999999995,-0.029333333333333333,-0.029999999999999995,-0.029999999999999995,-0.035666666666666666,-0.02033333333333333,-0.02,-0.02,-0.034,-0.04,-0.029999999999999995,-0.02,-0.028333333333333332
05:00,,0.029999999999999995,0.0,0.02,0.0,0.0,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,-0.04,-0.04,-0.04,-0.04,-0.058666666666666666,-0.066,-0.04,-0.04,-0.04,,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.042333333333333334,-0.04066666666666666,-0.04766666666666667,-0.05,-0.04,-0.059666666666666666,-0.046000000000000006,-0.056666666666666664,-0.04,-0.04,-0.04,-0.04,-0.042333333333333334,-0.05,-0.050333333333333334,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.028,-0.04,-0.02033333333333333,-0.01,-0.02,-0.02,-0.03266666666666666,-0.029999999999999995,-0.029333333333333333,-0.029999999999999995,-0.029999999999999995,-0.030999999999999996,-0.02,-0.02,-0.01633333333333333,-0.034333333333333334,-0.04,-0.029999999999999995,-0.019666666666666666,-0.02333333333333333
