,2025-03-24,2025-04-05,2025-04-06,2025-04-07,2025-04-12,2025-04-13,2025-04-20,2025-04-26,2025-04-28,2025-04-29,2025-04-30,2025-05-03,2025-05-05,2025-05-06,2025-05-07,2025-05-11,2025-05-14,2025-05-18,2025-05-19,2025-05-20,2025-05-23,2025-05-26,2025-05-28,2025-06-02,2025-06-03,2025-06-09,2025-06-11,2025-06-12,2025-06-13,2025-06-15,2025-06-20,2025-06-24,2025-06-27,2025-06-29,2025-06-30,2025-07-02,2025-07-03,2025-07-04,2025-07-16,2025-07-17,2025-07-21,2025-07-27,2025-07-28,2025-07-30,2025-07-31,2025-08-01,2025-08-02,2025-08-07,2025-08-08,2025-08-16,2025-08-20,2025-08-21,2025-08-22,2025-08-24,2025-08-29,2025-09-01,2025-09-08,2025-09-15
07:00,,2.9988,2.7094,0.9239333333333334,,,0.4590666666666667,3.3576333333333332,0.5610999999999999,1.8348666666666666,2.6881666666666666,3.795266666666667,,,3.5643666666666665,1.9787,3.3007,2.443366666666667,0.3938666666666667,0.6237666666666667,3.5121666666666664,1.4695,1.3834666666666666,3.708666666666667,2.1603,3.5043333333333333,0.4955666666666667,1.6436666666666668,3.604133333333333,0.7591428571428571,1.9365666666666668,0.5244,3.4140333333333337,3.3007666666666666,2.4263181818181816,3.2971333333333335,1.3489,2.7158666666666664,1.2480333333333333,2.522,2.9987,1.0863333333333332,2.7098,2.5661666666666667,1.3815,1.8088666666666666,0.6528333333333334,0.7034666666666667,1.7262333333333333,3.0116,3.1225,1.7626,1.972,1.2612999999999999,2.7403,0.9950333333333333,0.0143,
07:30,,4.177933333333333,2.2514333333333334,2.2706666666666666,,,0.6534333333333334,4.4561,1.0923333333333334,0.9127,4.640366666666667,4.6946666666666665,,,4.6550666666666665,0.8372666666666666,4.726166666666667,3.2807666666666666,0.8716333333333334,0.8743,4.4830000000000005,2.256333333333333,2.8345333333333333,4.702333333333333,2.1185666666666667,3.9645,0.8912666666666667,1.7206333333333332,4.587866666666667,,2.778566666666667,0.6112333333333333,2.5121666666666664,4.067366666666667,,4.308233333333333,2.4335333333333335,3.4008666666666665,1.9681333333333333,4.4159,1.9065666666666667,1.7648666666666666,1.4187,4.595666666666667,2.5694333333333335,1.5688333333333333,0.7467666666666666,0.716,4.659466666666666,4.119933333333333,3.3758,3.6266333333333334,3.027133333333333,3.7614,2.8239333333333336,1.6421,0.018166666666666668,
08:00,,5.2198,2.4450333333333334,3.6148666666666665,,,1.1001,5.4778,1.2926333333333333,4.283966666666667,2.253033333333333,5.679366666666667,,,5.753266666666667,1.5314333333333332,5.1809666666666665,4.427099999999999,1.5286333333333333,0.9315666666666667,5.581433333333334,2.8879333333333337,2.253133333333333,5.475033333333333,3.065933333333333,5.1991000000000005,0.6991666666666667,1.9440333333333333,5.4173,,3.5657,1.1918,3.2144,4.833866666666666,,4.8770999999999995,3.2778333333333336,4.551733333333333,2.891766666666667,2.661,4.862592592592592,3.6340999999999997,1.7781666666666667,4.9602,0.7792,0.9717666666666667,1.3851666666666667,0.8032666666666667,5.6895,4.987633333333333,3.3170333333333333,3.8485,2.6396666666666664,4.6704,2.746666666666667,4.373933333333333,0.10823333333333333,
08:30,,6.1047666666666665,3.6173333333333333,3.9457999999999998,,,1.2188666666666668,6.176866666666667,1.5265,3.719133333333333,2.0730999999999997,6.345933333333333,,,5.6323,1.4964000000000002,5.5185,5.527699999999999,2.0446,0.8041,6.2505,3.9701333333333335,3.723,6.148700000000001,3.5376666666666665,5.549366666666667,0.41483333333333333,2.3971333333333336,5.9135333333333335,,4.3306000000000004,2.0484999999999998,4.460566666666667,5.559166666666667,,5.708633333333333,5.361533333333333,5.483633333333334,2.8762666666666665,2.7745333333333333,,5.742733333333334,1.7043666666666666,4.445033333333333,0.5967333333333333,0.5797666666666667,2.6018,1.0161,4.180866666666667,5.6885,4.384433333333334,5.561766666666667,4.1193333333333335,5.4036,3.9829999999999997,4.738466666666667,0.17256666666666665,
09:00,,6.822500000000001,4.2353,5.745,,,1.7806,6.7365,2.2253666666666665,2.3128666666666664,3.010766666666667,6.885566666666667,,,6.584866666666667,1.0676333333333332,6.5258,5.174533333333333,2.8886,0.20953333333333335,6.5661000000000005,4.9129,5.110166666666667,6.7565,2.457333333333333,6.0274,1.0044333333333333,2.6724,6.961733333333333,,5.827,1.2508666666666668,4.9866,6.323933333333333,,6.2633,6.0729999999999995,5.6778,2.8228333333333335,3.158933333333333,,6.2275,2.594933333333333,3.959033333333333,0.36396666666666666,4.276766666666666,3.4458333333333333,1.7842333333333333,1.0948,6.383466666666666,6.244633333333334,4.843100000000001,3.861766666666667,6.001433333333334,2.968033333333333,6.138733333333334,0.7077666666666667,
09:30,,7.393133333333334,5.971900000000001,6.526166666666667,,,2.152933333333333,7.341833333333333,2.932733333333333,2.5621,5.200166666666666,7.144166666666666,,,6.205733333333333,1.1613666666666667,6.415666666666667,6.375233333333333,4.365966666666666,0.7938,6.571833333333333,5.431933333333333,5.333466666666666,7.283600000000001,3.8222333333333336,7.007933333333333,1.475,2.7663,3.9378333333333333,,7.214833333333333,2.5362999999999998,6.901666666666667,6.8337666666666665,,6.875266666666667,6.590533333333334,6.2710333333333335,3.1953,2.8078999999999996,,6.827966666666667,5.890966666666667,6.263933333333333,0.7769999999999999,2.445466666666667,4.71,1.9589666666666665,0.9009333333333333,6.862133333333333,6.055000000000001,4.2510666666666665,5.6133,6.634533333333334,2.3933666666666666,6.558366666666667,1.5880333333333332,
10:00,8.301285714285715,7.809833333333333,5.143033333333333,7.103666666666667,,,2.205,7.9188,3.5301666666666667,7.426933333333333,7.563766666666667,7.883233333333333,,,5.711833333333333,1.9124666666666668,5.850233333333334,7.414833333333333,7.971333333333334,6.633166666666667,6.5815,5.2949,7.6247,7.549066666666667,3.492033333333333,7.332133333333333,1.1524,3.2459,7.443366666666666,,7.5142,2.5738,5.8322666666666665,7.267933333333334,,5.708,6.923533333333333,6.9374666666666664,5.492,2.2645666666666666,,4.5592999999999995,7.1837,6.5755333333333335,1.9221,2.501533333333333,2.2798000000000003,1.3719666666666666,2.6391,5.578733333333333,5.385233333333333,7.726,6.115733333333334,5.472133333333333,3.032166666666667,6.950433333333334,1.7686666666666668,
10:30,8.054499999999999,8.206166666666666,5.170733333333334,6.413200000000001,,,2.7205333333333335,8.205133333333333,3.5130333333333335,6.373966666666666,4.606933333333333,8.1893,,,5.316346153846154,3.5477,6.393066666666667,7.694633333333333,8.104766666666666,7.966966666666666,6.4056999999999995,4.631200000000001,8.118966666666667,7.861266666666666,3.271533333333333,7.6446,0.8795666666666667,3.4379666666666666,8.215266666666666,,6.2293666666666665,3.0528666666666666,4.005733333333334,7.412400000000001,,6.025333333333333,7.107866666666666,7.329933333333333,4.8764,2.6272666666666664,,5.0869,4.300300000000001,7.817333333333334,1.7939666666666667,3.4391666666666665,4.702766666666666,1.8786666666666667,4.6664666666666665,6.591333333333334,4.848666666666667,4.8169666666666675,6.438599999999999,4.4495,4.628699999999999,7.1345,2.2094666666666667,
11:00,6.300266666666667,8.369033333333332,3.8737333333333335,4.884666666666666,,,2.6296000000000004,8.458533333333333,3.5862666666666665,2.5603666666666665,6.694866666666667,8.359133333333334,,,,3.8606333333333334,6.322966666666667,7.819999999999999,8.389433333333333,7.980333333333333,6.157333333333333,3.3915,7.1456,7.924566666666666,2.9355333333333333,7.370033333333334,1.2136333333333333,3.6833,8.257933333333334,,2.8778,2.240733333333333,4.522266666666667,7.555899999999999,,7.695366666666667,7.485200000000001,6.895766666666666,6.353233333333334,2.9092333333333333,,3.8328333333333333,7.466399999999999,7.821533333333334,3.7723333333333335,2.8388333333333335,5.8928666666666665,4.9235999999999995,7.146433333333333,3.6748666666666665,4.6886,7.8713999999999995,7.1072999999999995,6.680933333333333,3.8770666666666664,7.205066666666666,1.9126333333333332,
11:30,7.223566666666667,6.903099999999999,3.0084999999999997,3.1205333333333334,,,2.7699,8.611899999999999,4.229133333333333,6.570966666666666,7.428633333333334,8.276366666666666,,,,2.518333333333333,6.381233333333333,7.8838,8.4544,7.844533333333334,6.409066666666666,3.2045000000000003,7.699133333333334,8.073033333333333,2.8509333333333333,7.665733333333334,1.4435,3.5493666666666663,8.290533333333334,,7.433800000000001,1.8818666666666666,6.6634,7.560366666666667,,7.8897,7.140633333333333,6.333633333333333,5.6325666666666665,3.0597,,4.062333333333333,7.333966666666667,7.940666666666667,8.042,3.8735333333333335,4.894333333333334,4.768833333333333,7.988266666666666,4.314933333333333,4.691,6.609800000000001,6.854299999999999,7.491166666666667,2.1547666666666667,7.3275,2.267333333333333,
12:00,5.752966666666667,8.512166666666667,4.763599999999999,7.348633333333334,,,2.854033333333333,7.8756,4.4937000000000005,8.520333333333333,6.4088666666666665,6.865799999999999,,,,2.1750333333333334,6.867999999999999,7.972933333333334,8.313033333333333,7.9224,6.149466666666667,3.1521333333333335,8.737433333333334,7.987466666666666,2.5073999999999996,7.119766666666666,2.1137,4.588666666666667,8.2259,,7.743833333333333,1.3937,4.8788,7.532133333333333,,6.4614666666666665,7.045,5.0899,8.1061,3.7441000000000004,,3.8566333333333334,6.5395666666666665,7.8094,7.323099999999999,3.3117333333333336,6.0409999999999995,2.9380666666666664,7.797466666666667,5.527699999999999,5.046666666666667,4.5328,7.4826999999999995,7.224566666666666,2.5107333333333335,7.2992333333333335,2.889333333333333,
12:30,6.0913666666666675,6.7453,5.872866666666667,7.3971,,,3.3611666666666666,6.9893,3.8671,8.9601,7.970766666666666,7.650333333333333,,,,2.072966666666667,6.189433333333333,7.767799999999999,8.044233333333333,7.913833333333333,4.502433333333333,4.4619,7.286966666666667,7.768966666666667,2.3967666666666667,7.575866666666667,1.4851666666666667,6.317733333333333,8.0036,,7.582966666666667,0.9730666666666666,7.722133333333334,7.536933333333334,,7.260766666666667,6.7042,4.332633333333334,8.088799999999999,4.063666666666666,,4.479533333333333,5.8062000000000005,7.788166666666667,7.626033333333334,3.9701333333333335,5.8312333333333335,4.039766666666667,6.940066666666667,6.6203666666666665,7.1658,4.604333333333333,7.223833333333333,6.243833333333333,4.761233333333333,7.128266666666667,2.7678333333333334,
13:00,2.371566666666667,7.206666666666666,6.5561,5.8550666666666675,,,3.6389,6.450233333333333,4.6901,8.3665,6.671733333333333,7.791266666666667,,,,2.3669000000000002,5.256633333333334,6.658566666666667,7.795166666666666,6.786600000000001,5.391666666666667,4.479533333333333,7.7198,7.414566666666667,1.6369,7.3020000000000005,1.3125666666666667,6.0389333333333335,7.368966666666666,,7.350333333333333,1.4293666666666667,7.172300000000001,7.0339,,5.982566666666667,3.7299,4.2427,6.180766666666667,3.4234,,3.104033333333333,5.677766666666667,7.3803,7.475233333333334,2.2314,4.951133333333333,4.8373333333333335,7.714966666666666,5.199233333333334,4.222766666666667,4.1734333333333336,7.1592,5.504499999999999,5.681833333333333,6.863933333333334,2.717966666666667,
13:30,1.7739666666666667,5.066766666666667,6.501866666666667,6.805899999999999,,,3.7209,4.035833333333334,5.2672,7.786766666666667,6.0633,6.581433333333333,,,,2.1724,5.6209333333333324,4.835933333333333,7.336766666666667,5.0755333333333335,6.888733333333334,4.301466666666667,7.2683,7.186866666666666,0.6874666666666667,6.857333333333333,0.841,6.213833333333333,7.3798,,6.806766666666666,2.0944,6.711399999999999,6.8462,,5.886833333333333,4.2443,1.6782,5.0686333333333335,2.4420333333333333,,1.6665999999999999,5.327866666666667,7.062833333333333,7.073533333333333,2.3885666666666667,2.9241,5.1644,7.8782000000000005,7.035033333333333,2.490866666666667,4.456933333333334,6.001099999999999,5.8699,3.771533333333333,6.4067,2.283266666666667,
14:00,2.7959666666666667,3.407166666666667,5.532966666666667,5.124466666666667,,,2.4103333333333334,5.5218,2.3471666666666664,7.0496,6.515533333333334,6.827933333333333,,,,1.7979333333333334,5.0892,2.9002333333333334,6.735666666666666,2.2156333333333333,5.558166666666667,4.2177999999999995,6.681733333333333,6.3318666666666665,0.5167333333333334,5.382533333333333,1.2685,4.908533333333334,6.708,,6.3012999999999995,3.5890666666666666,3.1815333333333333,6.2828333333333335,,4.7254,5.746866666666667,0.8515666666666667,5.186733333333334,3.0039333333333333,,1.9267333333333334,3.3198000000000003,6.512766666666667,5.613966666666667,2.2134,2.1746666666666665,3.7945333333333333,6.954233333333334,6.0391,3.6105,5.0619,3.2054,5.442266666666667,3.3135666666666665,5.719366666666667,3.6418666666666666,
14:30,2.2971999999999997,5.111133333333333,4.386933333333333,5.761666666666667,,,1.0883333333333334,4.872066666666667,2.8178666666666667,5.8579,6.2519,6.340033333333333,,,,2.0108333333333333,4.727633333333333,3.2890333333333337,6.050966666666667,0.8932666666666668,5.4407000000000005,3.3358,6.015033333333333,5.765066666666667,0.6780666666666666,3.5879666666666665,1.4135,4.674366666666667,5.8316333333333334,,4.601166666666667,3.1759,5.3232,5.816999999999999,,4.118633333333333,5.0845,1.5842,3.0006,2.747333333333333,,3.056966666666667,3.8521666666666667,5.888233333333333,5.886233333333333,2.1409666666666665,5.8319,2.8006666666666664,4.6170333333333335,5.555166666666667,3.347666666666667,3.0189999999999997,2.895366666666667,1.9651333333333334,2.7525666666666666,4.107666666666667,3.8642,
15:00,1.8179333333333332,4.8342,3.1119666666666665,5.373533333333333,,,1.2391,3.0402,2.6992666666666665,5.552266666666667,5.327933333333333,5.199,,,,1.8646666666666667,3.2743666666666664,3.3438666666666665,5.213166666666667,1.6081333333333334,4.583633333333334,3.3422666666666667,5.225366666666667,4.687666666666667,0.2973,3.133666666666667,1.1887666666666665,4.353899999999999,5.349266666666667,,4.9802333333333335,4.838966666666667,5.280866666666666,4.9769,,3.0329333333333333,4.6467,2.4118666666666666,2.4282,1.9097,,2.8056666666666668,3.9114333333333335,5.140033333333333,4.740333333333334,1.5973,3.2150000000000003,3.0354666666666663,4.402833333333334,5.016,4.3316,4.4954,2.7878,1.6412333333333333,1.2357333333333334,3.0025333333333335,2.355033333333333,
15:30,1.7097333333333333,4.008133333333333,3.3816333333333333,1.9418333333333335,,,1.2264333333333333,3.0964666666666667,2.5976333333333335,4.3945,4.352133333333333,3.5140333333333333,,,,1.6479666666666666,2.891566666666667,3.5926,4.3425666666666665,1.2059333333333333,1.9967333333333335,3.0463,4.3272666666666675,4.184866666666667,0.5309333333333333,2.5111333333333334,0.9620333333333334,3.4284000000000003,4.4117,,4.8537333333333335,3.7550666666666666,4.499866666666667,4.1286000000000005,,2.7190333333333334,3.5163333333333333,2.3639333333333337,1.9079000000000002,1.9580666666666666,,1.8636000000000001,1.8082333333333334,4.298566666666667,4.132066666666667,0.9344333333333333,0.6659,3.6883666666666666,4.6466,4.115933333333333,3.7975,3.2252,2.160066666666667,1.2001333333333333,0.9695333333333332,3.1903,1.4975666666666667,
16:00,1.9871,2.9097,1.8084666666666667,1.6977,,,0.5741999999999999,2.7793,1.5082333333333333,3.0955999999999997,3.2839,2.8853,,,,1.9503666666666666,2.7945333333333333,2.0446666666666666,3.3627,0.6651333333333334,2.9849,2.4688333333333334,3.3547000000000002,3.3125666666666667,0.2745666666666667,2.2158333333333333,0.6734333333333333,2.592633333333333,3.3682666666666665,,3.9528000000000003,3.908666666666667,3.7149666666666668,2.8863333333333334,,1.0625,3.0289333333333333,2.4948333333333332,1.9749333333333332,1.9930999999999999,,1.8115999999999999,3.0433999999999997,3.3747666666666665,3.2255,0.7122333333333334,1.1098333333333334,3.1144666666666665,3.5582333333333334,3.1411666666666664,2.8377666666666665,3.3476333333333335,1.8774666666666666,1.0520666666666667,1.8594333333333333,2.5225,1.2341666666666666,
16:30,0.9403666666666666,1.8108666666666666,1.4304333333333332,,,,0.14573333333333333,1.7147000000000001,0.8667333333333332,1.3543666666666667,2.166166666666667,1.5704,,,,1.5238,2.496,1.5329666666666666,2.3234,0.7434666666666666,1.7351666666666667,1.7134666666666665,2.3409666666666666,2.2652666666666668,0.40776666666666667,1.5013,0.7559333333333333,1.7931666666666668,2.580966666666667,,2.2166333333333332,2.5645333333333338,2.5811333333333333,1.6820333333333333,,0.5257333333333334,2.3174333333333332,2.3098,1.4957333333333334,1.5417333333333334,,1.4856666666666667,1.1247333333333331,2.378833333333333,2.3830666666666667,1.0499,1.3411333333333333,2.5529,2.0782666666666665,1.785,1.8092666666666666,2.0775333333333332,0.9416333333333333,0.8786333333333334,1.7716,1.1173666666666666,1.0605333333333333,
17:00,0.7481000000000001,0.9278666666666666,1.2976666666666667,,,,0.052599999999999994,1.1098333333333334,0.7091999999999999,0.6344,1.0803,0.7637333333333333,,,,1.2866333333333335,1.8193,1.0539,1.3318666666666668,0.4111333333333333,1.0859666666666667,1.2529333333333335,1.3647,1.4369333333333332,0.0814,0.9933,0.8717666666666666,1.5760666666666667,1.4629,,1.3364333333333334,1.5953000000000002,1.6539666666666666,1.4022666666666666,,0.3828666666666667,1.5014333333333334,0.5664333333333335,0.8675999999999999,1.1586,,1.0264,0.9754666666666666,1.4023666666666665,1.581,0.5693,0.7168666666666667,1.425,0.5776,1.1350666666666667,1.1069,1.0548,0.7170000000000001,0.4549666666666667,1.2376333333333334,0.7861333333333334,0.5714666666666666,
17:30,0.19076666666666667,0.3841,0.3251666666666667,,,,0.03576666666666666,0.5648666666666667,0.4953,0.4299,0.37133333333333335,0.43839999999999996,,,,0.9735999999999999,1.0009000000000001,0.8196666666666667,0.6114999999999999,0.24703333333333333,0.3769,0.8827333333333333,0.6137333333333334,1.0202666666666667,0.22673333333333334,0.6138333333333333,0.7353000000000001,0.7004,1.0532666666666666,,1.1180999999999999,0.9595666666666667,0.8985333333333333,0.7586999999999999,,0.24723333333333333,0.9773999999999999,0.4344,0.6821666666666667,0.8640333333333333,,0.8073666666666667,0.6046,0.6039,0.7508666666666667,0.314,0.5173666666666666,0.49613333333333337,0.3219666666666667,0.6377,0.6156333333333334,0.3933,0.46786666666666665,1.0450000000000002,0.4484333333333333,0.41596666666666665,0.16693333333333332,
18:00,0.013833333333333335,0.07206666666666667,0.064,,,,0.00023333333333333333,0.26839999999999997,0.11666666666666667,0.13616666666666666,0.13263333333333333,0.23943333333333333,,,,0.3001,0.5180333333333333,0.41450000000000004,0.3297,0.0508,0.11536666666666666,0.47896666666666665,0.31856666666666666,0.5632,0.09780000000000001,0.4235,0.7606333333333333,0.3485,0.5536666666666666,,0.8267666666666666,0.6048666666666667,0.3844666666666667,0.45836666666666664,,0.21783333333333335,0.5331333333333333,0.43333333333333335,0.7092666666666666,0.49506666666666665,,0.5266,0.2939,0.24846666666666667,0.3215,0.1758,0.6592666666666667,0.14363333333333334,0.21996666666666667,0.26553333333333334,0.35363333333333336,0.1094,0.26539999999999997,0.3168666666666667,0.1192,0.14276666666666668,0.023966666666666667,
