,2025-03-24,2025-03-25,2025-03-26,2025-03-27,2025-03-28,2025-03-29,2025-03-30,2025-03-31,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-07-24,2025-07-25,2025-07-26,2025-07-27,2025-07-28,2025-07-29,2025-07-30,2025-07-31,2025-08-01,2025-08-02,2025-08-03,2025-08-04,2025-08-05,2025-08-06,2025-08-07,2025-08-08,2025-08-09,2025-08-10,2025-08-11,2025-08-12,2025-08-13,2025-08-14,2025-08-15,2025-08-16,2025-08-17,2025-08-18,2025-08-19,2025-08-20,2025-08-21,2025-08-22,2025-08-23,2025-08-24,2025-08-25,2025-08-26,2025-08-27,2025-08-28,2025-08-29,2025-08-30,2025-08-31,2025-09-01,2025-09-02,2025-09-03,2025-09-04
00:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
01:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
01:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
02:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
02:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
03:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
03:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
04:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
04:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.005833333333333333,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
05:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027566666666666666,0.12869999999999998,0.0,0.011333333333333332,0.13466666666666666,0.09613333333333333,0.04806666666666667,0.084,0.009033333333333334,0.056133333333333334,0.02246666666666667,-0.00036666666666666667,0.005666666666666667,0.0028333333333333335,0.0,-0.00036666666666666667,-0.0008666666666666667,0.011233333333333333,0.006533333333333334,0.0024333333333333334,,,-0.00036666666666666667,-0.0003333333333333333,-0.00036666666666666667,-0.0005333333333333334,-0.0006000000000000001,-0.00046666666666666666,-0.00046666666666666666,-0.0009,-0.0006666666666666666,-0.0007666666666666667,-0.0007,-0.0007666666666666667,-0.0006000000000000001,-0.0006666666666666666,-0.0007666666666666667,-0.0007333333333333333,-0.001,-0.0009666666666666667
05:30,,0.0,0.0,0.0,-0.0009333333333333333,-0.0008,-0.00046666666666666666,-0.00030000000000000003,-0.0006000000000000001,-0.0007,-0.00043333333333333337,0.004966666666666666,0.030100000000000002,0.0,0.0541,0.2607666666666667,0.42593333333333333,0.02783333333333333,0.12736666666666668,0.4376,0.34663333333333335,0.22446666666666668,0.3749,0.10393333333333334,0.3920333333333333,0.14353333333333335,0.002766666666666667,0.2115,0.11873333333333334,0.0057333333333333325,0.14636666666666667,0.0,0.06970000000000001,0.119,0.08896666666666667,,,0.0514,0.08843333333333334,0.2321,0.0599,0.0362,0.16493333333333335,0.0636,0.0,0.03373333333333333,0.008333333333333333,0.0197,0.0058,0.0392,0.048466666666666665,0.008433333333333333,0.014766666666666668,-0.0008666666666666667,0.02
06:00,,0.0,0.06949999999999999,0.08523333333333333,0.0,0.014766666666666668,0.048633333333333334,0.21013333333333334,0.034166666666666665,0.0175,0.018699999999999998,0.22133333333333333,0.33030000000000004,0.20923333333333333,0.19103333333333333,0.8040666666666667,0.9770666666666667,0.13156666666666667,0.2958,0.9577000000000001,0.8741666666666668,0.3606,0.7593666666666666,0.17423333333333335,0.8769333333333333,0.5312,0.12693333333333331,0.5758,0.5765,0.0755,0.30283333333333334,0.0708,0.3747666666666667,0.4437,0.3851333333333333,,,0.3085333333333333,0.6844,0.8642666666666667,0.414,0.4618333333333334,0.6540666666666667,0.40563333333333335,0.005699999999999999,0.253,0.2,0.5021666666666667,0.28363333333333335,0.42560000000000003,0.22440000000000002,0.2552666666666667,0.30233333333333334,0.0,0.11473333333333334
06:30,,0.08023333333333334,0.7100666666666666,0.919,0.042333333333333334,0.14036666666666667,0.3062666666666667,0.8645999999999999,0.16849999999999998,0.0764,0.24493333333333334,0.8035,0.7468,0.6920000000000001,0.5421333333333334,0.3655666666666667,1.7302666666666666,0.49463333333333337,0.5307999999999999,1.8092000000000001,1.6134,0.3925,1.3295666666666668,0.2445,1.5250333333333332,1.1068333333333333,0.27863333333333334,0.7947000000000001,1.2513,0.07390000000000001,0.6271,0.17086666666666667,0.8026,1.4336666666666666,1.1612,,,0.4464666666666667,0.7114999999999999,1.4286666666666668,1.165,0.7975666666666666,1.0845666666666667,0.9563666666666666,0.05923333333333334,0.6047333333333333,0.6497333333333334,0.8968666666666666,0.8443333333333333,0.7119333333333333,0.11126666666666667,0.5323,0.8676999999999999,0.0,0.3053
07:00,,1.534,1.6439666666666668,0.8287333333333333,0.3376,0.28863333333333335,0.9902,2.0240666666666667,0.5214333333333333,0.2026,0.31093333333333334,1.8620666666666668,1.4414666666666667,0.9755,2.5541666666666667,0.06770000000000001,2.827566666666667,0.7129,0.6803333333333333,2.8240666666666665,3.0554666666666668,0.4921333333333333,2.5815333333333332,0.36283333333333334,2.3113333333333332,2.2565666666666666,0.5778,1.3378333333333332,2.1364666666666663,0.1805,0.8936333333333334,0.3495666666666667,1.2996333333333332,1.9241,2.6248333333333336,,,1.3386,0.9962333333333333,2.195533333333333,2.0288999999999997,1.4063666666666668,2.112966666666667,1.9869999999999999,0.1599,1.4548666666666668,1.9074,1.4973666666666667,1.6548333333333334,1.8856666666666666,0.9515,1.5146000000000002,1.9974999999999998,0.0089,0.785
07:30,,2.7785333333333333,2.868533333333333,1.4020666666666666,0.5543666666666667,0.6056333333333334,1.3341666666666667,3.3066999999999998,0.9826666666666667,0.4034333333333333,0.5741999999999999,3.8194,1.3269666666666666,1.4921,3.6514333333333338,0.18366666666666667,3.6557000000000004,1.4262333333333332,0.7116666666666667,3.5925333333333334,3.8800666666666666,0.6082666666666667,3.4775666666666667,0.5914,2.3122666666666665,3.2365,0.7331666666666667,3.331033333333333,3.3297666666666665,0.3922666666666667,0.33946666666666664,0.4314666666666667,2.8529666666666667,2.8325666666666667,2.7896666666666667,,,3.5399333333333334,1.4910666666666665,2.7518666666666665,2.9228333333333336,2.2828666666666666,3.193566666666667,3.0435999999999996,0.2934,1.5347333333333333,2.979,3.3121333333333336,2.9161333333333332,3.1137,1.3734,2.190233333333333,3.056633333333333,0.22820000000000001,0.9937
08:00,,3.7638000000000003,3.9036666666666666,1.3276000000000001,1.1340666666666666,0.6861999999999999,3.8085333333333335,4.634533333333334,1.2905666666666666,0.6166666666666667,0.8556666666666667,4.608233333333333,3.130866666666667,2.6193000000000004,4.681466666666666,0.3733333333333333,4.272633333333333,1.1881,0.7587666666666666,4.612433333333333,4.746133333333333,1.0109333333333332,4.3326,0.9272333333333334,1.7530666666666666,4.134566666666667,1.1080333333333334,4.616,4.388833333333333,0.6145666666666667,0.47636666666666666,0.2331,4.094399999999999,3.085,1.7928,,,4.1452333333333335,1.5627333333333333,3.477133333333333,3.6655666666666664,2.4311333333333334,3.9748666666666663,4.016466666666667,0.5072,1.7862,3.9337333333333335,4.193066666666667,2.7632,4.067166666666667,1.5746666666666667,3.165,4.0504,1.2074666666666665,0.8701000000000001
08:30,,5.213966666666667,4.930866666666666,1.3348,1.2323666666666668,0.528,3.4666,5.815633333333333,1.1661666666666666,0.6540666666666667,0.8426333333333333,3.6454999999999997,4.1705,3.108633333333333,5.558233333333334,1.0212666666666665,5.3301,1.6415666666666666,1.0760333333333334,4.816199999999999,5.3387,1.6338333333333332,5.0827333333333335,0.5206000000000001,1.2603333333333333,4.961166666666667,0.8815333333333333,2.9980333333333333,5.445766666666667,0.6564333333333334,1.7940666666666667,0.5442,5.135433333333333,3.5509333333333335,3.194866666666667,,,5.592166666666667,4.3749,3.9763,5.129966666666666,3.980633333333333,4.9454,4.869566666666667,0.5541666666666667,3.0086,3.2053000000000003,4.7901,3.0538000000000003,3.433133333333333,1.5324,4.563066666666667,4.9048,2.1565333333333334,1.4877666666666667
09:00,,1.6223666666666667,5.832966666666667,2.6380333333333335,2.828933333333333,0.8425666666666667,5.625633333333334,5.9264,0.7851,0.7825333333333333,0.4135666666666667,4.232733333333333,4.967033333333333,4.432533333333334,6.286866666666667,2.5694999999999997,4.725,2.3985666666666665,1.0833000000000002,5.7520999999999995,6.0073,1.4700333333333333,5.7176,0.8109999999999999,1.2483666666666666,5.664233333333333,1.3780666666666666,0.6602666666666667,5.0343,1.0384333333333333,1.5242666666666667,0.6980333333333333,5.797666666666667,5.2196,3.7341333333333333,,,6.009333333333333,6.301533333333333,6.757533333333333,4.6833,3.8066666666666666,5.603433333333333,5.581166666666666,0.42319999999999997,4.495466666666667,5.419133333333334,5.045599999999999,2.9489666666666663,5.674766666666667,1.8428333333333333,5.2463999999999995,5.670166666666666,2.7630666666666666,2.2463333333333333
09:30,,0.2032,6.115399999999999,5.792766666666666,2.377533333333333,0.7939666666666666,6.965433333333333,5.9021333333333335,0.5422333333333333,1.1440333333333332,0.7365999999999999,2.3672,6.602066666666667,6.5978666666666665,6.9273,3.8520666666666665,5.567066666666666,3.2820000000000005,1.1390666666666667,6.570933333333333,6.571833333333333,2.257833333333333,6.3594,0.8179333333333333,3.2918000000000003,6.226266666666667,2.105566666666667,0.7303333333333334,6.4809,0.8390333333333333,1.5289666666666666,1.1983333333333335,5.397466666666667,5.178666666666667,5.026133333333333,,,6.6921333333333335,2.691033333333333,6.485966666666667,6.1598999999999995,5.7256,6.183466666666666,6.1536,0.6006333333333332,4.5395,6.164266666666666,6.0161,2.7607,3.1048666666666667,1.6774,4.798966666666667,6.206666666666666,5.378666666666667,1.4898666666666667
10:00,7.902157894736842,0.37870000000000004,5.8285,6.460666666666667,3.447,1.0661666666666667,7.5441666666666665,5.340333333333334,0.397,1.2437,0.7018666666666667,1.5948666666666667,7.3176,6.907366666666666,7.4258999999999995,3.2244666666666664,5.752266666666667,2.0514666666666668,1.1982,6.9319,6.983466666666667,2.606933333333333,6.299300000000001,0.8378666666666666,4.4068000000000005,6.7307,1.3099999999999998,2.2178666666666667,6.611000000000001,0.9070333333333332,1.7334333333333334,1.1899000000000002,7.2858,7.3641,1.9395333333333333,,,5.637266666666666,2.0614666666666666,5.448266666666667,6.165233333333333,6.4995666666666665,6.6484,5.747966666666667,0.8160666666666666,5.286266666666666,4.028933333333333,6.616466666666667,3.943166666666667,5.677066666666667,1.4513333333333334,5.747066666666667,6.580633333333334,7.2161,0.9752666666666666
10:30,,0.4749333333333334,6.2129,5.887333333333333,5.054133333333334,2.008766666666667,6.566766666666666,5.733099999999999,0.8796666666666667,1.2622666666666666,0.6594666666666666,3.3823333333333334,7.4885,7.4986,7.7313,3.9219333333333335,5.959966666666667,1.8456666666666666,1.2133333333333334,7.1764,7.343666666666667,1.9335666666666667,6.728366666666667,0.9589333333333333,6.294733333333334,7.092333333333333,2.4651,4.1604,6.776633333333334,1.5553333333333332,1.6922,1.1622666666666668,6.1466666666666665,5.5149333333333335,2.4530666666666665,,,6.898733333333333,1.3022666666666667,5.672766666666666,7.127766666666667,6.1749,6.9972,6.8751,0.8640666666666666,4.482266666666666,5.459633333333333,5.0532666666666675,4.197433333333334,2.714733333333333,1.3895333333333333,6.7964,6.985966666666667,7.5218,1.2595999999999998
11:00,,0.5021,5.097833333333333,7.258166666666667,7.720466666666667,2.3528333333333333,3.0443000000000002,6.424033333333333,1.1897333333333333,1.2723,0.7490333333333333,3.3650666666666664,7.5338,7.1738,7.9464,3.5117333333333334,6.103066666666667,1.6816666666666669,1.4881666666666669,7.121933333333333,7.552266666666667,1.7903,7.229333333333333,1.5516,6.5061,7.370433333333334,5.8318,7.6899999999999995,7.623866666666667,2.2263333333333337,2.5281666666666665,1.5576666666666665,5.676166666666666,7.092,1.8958333333333333,,,5.782666666666667,2.1744,4.7171,5.250333333333333,7.067633333333333,7.0527,5.8078,0.9006333333333333,5.992733333333334,3.808066666666667,4.995666666666667,3.141633333333333,3.457733333333333,0.7908666666666666,7.158233333333333,7.365966666666667,7.687233333333333,0.5924333333333334
11:30,,0.7533666666666666,8.152033333333334,6.244566666666667,5.849633333333333,2.1324,4.458266666666666,5.898166666666667,1.1399666666666666,1.2831666666666666,0.7957333333333333,4.726588235294118,7.804433333333334,6.867999999999999,8.095966666666666,7.372466666666667,6.702533333333333,1.9804,1.4020000000000001,7.390033333333333,7.754066666666666,1.5405000000000002,7.354066666666666,1.8127333333333333,6.841166666666667,7.552666666666667,4.058366666666667,7.8646666666666665,8.0444,3.3128333333333333,3.5974999999999997,1.9406,5.366733333333333,6.415633333333333,2.3749333333333333,,,7.691166666666666,3.8815999999999997,7.680833333333334,3.0713999999999997,6.614433333333333,7.328366666666667,5.5996999999999995,0.9678666666666668,4.783033333333333,1.548533333333333,3.7785333333333333,1.6552333333333336,2.3847333333333336,1.3736666666666666,7.2552,7.651466666666667,7.824466666666667,1.2483666666666666
12:00,,1.1047666666666667,8.297133333333333,7.693466666666667,5.1917333333333335,2.7103333333333333,4.1460333333333335,5.4393,1.1749,1.3902333333333334,1.3094666666666666,,3.5260000000000002,8.1328,8.0519,6.972899999999999,6.897666666666667,1.1690666666666667,1.3390333333333333,7.486933333333334,7.734133333333333,1.1550666666666667,7.3646666666666665,0.9657,7.308533333333333,6.934966666666667,2.654433333333333,7.681,7.785266666666667,1.4524666666666666,8.2628,2.367766666666667,5.201466666666667,6.6475,2.6225666666666667,,,5.995866666666667,7.980533333333333,7.940333333333333,6.5088,7.3596,7.430466666666666,5.600233333333334,1.2029333333333334,4.394433333333334,0.9402,6.962666666666666,2.3535,2.0120666666666667,0.7979,7.275933333333333,7.5203999999999995,7.803366666666666,2.1084
