,2025-03-29,2025-03-31,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-09,2025-04-12,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-26,2025-04-27,2025-04-29,2025-04-30,2025-05-01,2025-05-02,2025-05-06,2025-05-07,2025-05-09,2025-05-10,2025-05-11,2025-05-12,2025-05-13,2025-05-14,2025-05-15,2025-05-16,2025-05-17,2025-05-18,2025-05-19,2025-05-21,2025-05-22,2025-05-23,2025-05-24,2025-05-25,2025-05-28,2025-05-29,2025-06-02,2025-06-03,2025-06-05,2025-06-07,2025-06-08,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-13,2025-06-16,2025-06-18,2025-06-19,2025-06-20,2025-06-24,2025-06-25,2025-06-29,2025-06-30,2025-07-03,2025-07-05,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-17,2025-07-21,2025-07-22,2025-07-23,2025-07-26,2025-07-27,2025-07-30,2025-08-01,2025-08-07,2025-08-08,2025-08-09,2025-08-10,2025-08-11,2025-08-13,2025-08-18,2025-08-19,2025-08-22,2025-08-23,2025-08-26,2025-08-28,2025-09-01,2025-09-06,2025-09-07
05:30,-0.0008666666666666667,0.0010666666666666667,-0.0004,-0.0005333333333333334,0.0014,0.008833333333333334,0.015366666666666667,0.0,0.003733333333333333,0.0235,-0.0002666666666666667,-0.0001,0.0397,0.0644,0.08253333333333333,0.018400000000000003,0.056133333333333334,0.01806666666666667,0.08666666666666667,0.1056,0.11416666666666667,0.18286666666666665,0.11353333333333333,0.1226,0.3264666666666667,0.26483333333333337,0.08953333333333333,0.0,0.29533333333333334,0.04066666666666666,0.4683333333333334,0.0311,0.2682,0.4627,0.2695,0.43296666666666667,0.059666666666666666,0.16063333333333332,0.06663333333333334,0.4056666666666667,0.1703,0.4227666666666667,0.11693333333333333,0.04386666666666667,0.2948,0.44506666666666667,0.3971,0.4802,0.2717333333333333,0.3222333333333333,0.4173666666666666,0.3515,0.16843333333333332,0.0664,0.46296666666666664,0.3295,0.2880333333333333,0.2995333333333334,0.1232,0.5006666666666667,0.15886666666666666,0.16623333333333334,0.2772,0.3549,0.14306666666666665,0.14053333333333334,0.0814,0.027333333333333334,0.045033333333333335,0.07293333333333334,0.2043,0.07160000000000001,0.31010000000000004,0.2174,0.1088,0.17636666666666667,0.1564,0.1416,0.21516666666666667,0.08403333333333333,0.0453,0.0009000000000000001,0.20149999999999998,0.10503333333333333,0.007633333333333334,,0.11779999999999999,0.05263333333333333,0.07583333333333334,0.055233333333333336,0.1595,0.022799999999999997,0.0249,0.008766666666666667,0.028666666666666667,0.020933333333333335
06:00,0.021333333333333333,0.1036,0.08776666666666667,0.016933333333333335,0.048766666666666666,0.3025333333333334,0.16003333333333333,0.05693333333333333,0.14216666666666666,0.2404,0.019,0.021833333333333333,0.24686666666666668,0.2831,0.3552666666666667,0.11263333333333334,0.2905666666666667,0.094,0.2531,0.41000000000000003,0.48136666666666666,0.5262666666666667,0.42133333333333334,0.38316666666666666,0.8001333333333333,0.7888666666666667,0.34273333333333333,0.013633333333333332,0.6830333333333333,0.09296666666666667,0.7606,0.0878,0.6392,0.8766666666666667,0.3887,0.7444333333333333,0.27316666666666667,0.4749666666666667,0.13396666666666668,0.8842,0.42726666666666663,0.7051666666666667,0.5256333333333333,0.07113333333333333,0.5115000000000001,0.8356333333333333,0.8070333333333333,0.9302333333333334,0.6655,0.7641333333333333,0.7648333333333334,0.6940000000000001,0.38930000000000003,0.1892333333333333,0.8008333333333333,0.6933666666666666,0.6634333333333333,0.6106666666666667,0.2909,0.8963,0.5049333333333333,0.6095,0.5947333333333333,0.5878666666666666,0.3435666666666667,0.3095333333333333,0.15086666666666665,0.028966666666666665,0.12313333333333333,0.09276666666666666,0.6840666666666667,0.20403333333333334,0.7472666666666666,0.7676333333333333,0.4674,0.5443,0.34773333333333334,0.4799333333333333,0.4177,0.4939666666666666,0.18000000000000002,0.1167,0.5485000000000001,0.39430000000000004,0.10576666666666666,,0.26809999999999995,0.13786666666666667,0.3816666666666667,0.36946666666666667,0.5127,0.29893333333333333,0.4123333333333334,0.3045,0.1134,0.2487
06:30,0.11823333333333334,0.5944,0.13926666666666668,0.11456666666666666,0.1256,1.0204,0.6847,0.7116,0.5230666666666667,0.7670999999999999,0.07813333333333333,0.05433333333333334,0.41506666666666664,0.46346666666666664,0.9673333333333333,0.49906666666666666,0.8715333333333334,0.34746666666666665,0.9262,1.0760666666666667,1.1582333333333332,1.1407333333333334,1.2531666666666665,0.5839,1.4077,1.3790666666666667,0.5890666666666667,0.0633,1.4378666666666668,0.0883,1.3169333333333335,0.17713333333333334,1.3523,1.3050333333333335,0.5647,1.5684666666666667,0.3658666666666666,0.9481,0.1675,1.4818,0.5391333333333334,1.4793999999999998,0.9585,0.35846666666666666,0.6869999999999999,1.6279000000000001,1.5592000000000001,1.4999333333333333,1.4504666666666668,1.5191333333333332,1.0004666666666666,1.4117,0.7450333333333333,0.5976,1.1688666666666667,1.4149666666666667,1.3811333333333333,1.3436666666666668,0.44433333333333336,1.4186333333333332,0.6564333333333334,1.4541,1.2816,1.2289666666666668,0.7105,0.5205,0.49766666666666665,0.14173333333333332,0.1298,0.22836666666666666,1.1449,0.4314,0.39309999999999995,1.2534333333333334,1.1406333333333334,0.9305,1.0097,1.1232666666666666,0.8580333333333333,0.7590666666666668,1.3085666666666667,0.43540000000000006,0.8347,1.0180666666666667,0.13363333333333335,,1.0755666666666668,0.41003333333333336,1.2139,0.7209333333333333,0.8792000000000001,0.6039,0.8080333333333333,0.5991,0.3828666666666667,0.5986333333333334
07:00,0.23393333333333333,1.4965666666666666,0.612,0.25056666666666666,0.19443333333333335,1.2508333333333332,1.6232333333333335,2.1484333333333336,0.8901,1.5133333333333332,0.129,0.08033333333333334,0.49306666666666665,0.9793000000000001,1.9046333333333334,0.8812333333333334,1.6482999999999999,0.4531,2.0009333333333332,2.1176,2.1175,2.0785,1.6223999999999998,2.0678666666666667,2.3227333333333333,1.7531666666666665,0.1603,0.07743333333333333,2.3838,0.0999,1.4626666666666668,0.3657666666666667,2.3673333333333333,2.2768666666666664,0.9097000000000001,1.7242333333333333,0.40863333333333335,2.0907666666666667,0.3892333333333333,2.1746333333333334,0.8471666666666666,2.360266666666667,1.3949333333333334,0.5723,1.2926666666666666,2.4192666666666667,2.5129666666666663,1.9245666666666668,2.4061999999999997,2.4886333333333335,1.3654666666666666,2.344066666666667,1.0455333333333334,0.4803,1.5206333333333333,2.3830999999999998,2.2544666666666666,2.2448333333333332,0.6626,1.8390666666666666,0.5197333333333334,2.955433333333333,2.1587666666666667,1.6361666666666668,1.2124333333333333,1.0591333333333333,1.1808666666666667,0.6201666666666666,0.3091,0.8537,1.381,0.6748333333333334,0.5176666666666666,1.9808,2.0989,1.4390333333333334,1.8894,1.6166666666666667,1.0565,1.5317666666666667,2.2222,0.6973666666666667,1.3387666666666669,2.0063,0.11656666666666667,,1.2616333333333332,0.9565,0.9380666666666666,1.4633666666666665,1.6298333333333332,0.6173,1.3362666666666667,0.8973,1.8542999999999998,1.3293666666666666
07:30,0.5285333333333333,2.7257000000000002,0.9042333333333333,0.3308,0.4328666666666667,1.3099999999999998,2.8260333333333336,1.9696,1.8132333333333333,2.1542000000000003,0.5438333333333334,0.15200000000000002,0.9629666666666666,1.2850333333333335,2.9617666666666667,1.1856666666666666,2.3999,0.6403333333333333,2.8002666666666665,3.2383333333333337,3.1872666666666665,3.1395333333333335,0.9614666666666667,4.042233333333333,3.0612333333333335,2.761,0.31930000000000003,0.13676666666666665,3.1749333333333336,0.18833333333333335,0.7572,0.7143999999999999,3.4344666666666663,3.6038,1.1769333333333334,2.0554,0.6205999999999999,2.7828333333333335,0.8728,2.9562000000000004,1.3845999999999998,3.377666666666667,1.7240333333333335,1.2176,2.5417666666666667,3.395366666666667,3.5193333333333334,1.9270666666666665,3.3818333333333332,3.0629333333333335,2.0292333333333334,3.0174333333333334,1.4867333333333335,0.8803,1.6536333333333333,3.3895333333333335,3.385066666666667,3.1668666666666665,0.9187666666666666,3.002333333333333,0.606,2.3209999999999997,3.0131333333333337,1.1323,1.8646,1.2215666666666667,1.6957333333333333,1.1580333333333332,0.6483666666666666,0.8495,1.0093333333333334,0.6662333333333332,0.6347666666666666,3.5590333333333333,1.4972333333333334,2.8951333333333333,2.867033333333333,3.046266666666667,1.5559,3.2763,2.441733333333333,0.7172333333333333,3.707733333333333,3.0028333333333332,0.28346666666666664,,2.9356999999999998,2.1112333333333333,1.6549,2.4363333333333332,2.558266666666667,0.9395333333333333,2.3867,1.5041666666666667,1.2344333333333333,2.6490666666666667
08:00,0.6075666666666667,3.4679333333333333,0.9319000000000001,0.4577,0.7564333333333334,3.4121666666666663,3.9410666666666665,2.2536,2.7270333333333334,2.1447333333333334,0.44926666666666665,0.08220000000000001,1.5388,2.7518000000000002,3.9596999999999998,2.0317333333333334,3.5406666666666666,1.0577,4.2648,4.276866666666667,4.2806999999999995,4.2617,4.279433333333333,1.9851999999999999,4.439566666666667,4.204366666666667,0.5394333333333333,0.3440333333333333,3.4945,0.28486666666666666,1.3715000000000002,0.6819000000000001,4.3925,4.275633333333333,1.8462333333333334,2.344533333333333,0.534,3.6959,1.5275,3.9564333333333335,1.2820666666666667,4.453,0.8130000000000001,1.0757333333333332,2.1436,4.4383,4.377466666666667,2.8688,4.299433333333334,4.210866666666667,2.461,4.1524,2.4260333333333337,0.7466,1.9178,4.3194,3.821166666666667,4.053833333333333,1.8148333333333333,3.2758666666666665,1.1334000000000002,2.7644333333333333,3.8371333333333335,3.5637333333333334,2.9507333333333334,0.9468666666666666,2.9193,0.7435333333333334,0.9163666666666667,0.6895,3.2520000000000002,0.8544333333333333,0.7464,2.4384,3.8182666666666667,3.7971,3.5715,4.108733333333333,3.0737,3.9521666666666664,0.9194,0.8082333333333334,4.5111,3.3829333333333333,0.5039666666666667,,3.932866666666667,3.8284333333333334,1.7502333333333333,2.4579333333333335,3.633566666666667,1.3615,3.7915666666666668,3.5563333333333333,3.2177000000000002,3.6672000000000002
08:30,0.40686666666666665,4.796633333333333,1.5279333333333334,0.6010333333333333,0.6268666666666667,3.7703333333333333,4.9903666666666675,3.431366666666667,3.2862333333333336,3.5939666666666668,0.44426666666666664,0.3964,0.8001333333333334,3.3751,4.932833333333334,2.7744666666666666,4.6388,1.1068,5.2215333333333325,5.211566666666667,5.1203666666666665,5.2415666666666665,3.4354333333333336,1.9716999999999998,5.282666666666667,4.018633333333333,1.3825,0.6638333333333333,3.954533333333333,0.46340000000000003,1.4802,1.4406333333333334,5.256833333333334,4.7466,2.4966999999999997,4.355533333333333,0.8430666666666667,5.066866666666667,1.9923,4.6721,1.7826666666666666,5.229266666666666,1.0945,1.4643666666666666,3.4908,4.9832,5.1704,3.4262,5.129566666666666,4.582866666666666,3.1283000000000003,4.7363333333333335,4.3028666666666675,0.4174333333333333,2.3367666666666667,5.127533333333333,4.302933333333333,4.854833333333334,0.6391666666666667,3.247333333333333,1.9422,3.2977,4.6532,4.806066666666666,4.6288,0.8984,2.7944,0.7189,1.0562333333333334,0.7597333333333334,5.291366666666667,0.9853666666666666,1.0324,2.365333333333333,4.604233333333334,4.621333333333333,4.484266666666667,4.788,4.772966666666666,2.3561666666666667,0.5276,1.0032666666666665,3.9307999999999996,4.561766666666667,0.6049,,4.761933333333333,4.272866666666667,4.734966666666667,3.434633333333333,4.507533333333333,2.5314,4.517366666666666,4.0255,3.233366666666667,4.571266666666667
09:00,0.7491333333333333,4.116133333333333,0.9806666666666667,0.6602666666666667,0.49260000000000004,3.7207333333333334,5.8703,3.981533333333333,5.498333333333333,2.8905666666666665,0.9862333333333333,0.3171333333333333,1.7478,2.1636333333333337,5.721566666666666,2.9371333333333336,5.577566666666667,1.6962333333333333,6.0789,6.071066666666667,5.807133333333334,6.0639,2.216666666666667,3.2416,5.9353,5.1569666666666665,2.3215,1.0541,4.236466666666667,0.7236666666666667,1.0525333333333333,1.0547,6.0483666666666664,5.8098,5.544866666666667,5.175566666666667,0.6994,4.7641,2.7480333333333333,3.1031666666666666,1.9051,5.783333333333333,1.3076,2.2859666666666665,4.594533333333334,5.634533333333334,5.8947,2.3900333333333332,5.837733333333333,5.353433333333333,3.271,5.179066666666667,4.8880333333333335,1.0059666666666667,2.5923333333333334,5.605266666666666,4.909833333333334,5.515199999999999,2.402333333333333,5.032866666666666,1.2794333333333334,3.8272,5.521566666666667,4.1241,5.2723,1.5274333333333334,3.9016,0.8032,0.8953333333333333,0.7206666666666667,5.444533333333334,1.9186,1.6838666666666666,2.7440333333333333,5.2999,5.286833333333333,5.264799999999999,5.3011,5.1821,3.7344999999999997,2.8987333333333334,1.7439,1.0172333333333332,4.873733333333333,0.9425666666666667,,5.508533333333333,3.7571,5.318233333333334,3.3617666666666666,5.192166666666666,2.9042000000000003,5.311133333333333,5.335133333333333,5.439666666666667,5.399266666666667
09:30,0.7802,3.0833999999999997,0.9626333333333333,0.8110666666666667,1.1542333333333334,3.3658333333333332,6.6237,5.3929,6.184533333333333,2.928233333333333,2.7994333333333334,0.3672333333333333,2.7016666666666667,1.4874,6.365766666666667,2.3186000000000004,6.1825,2.1105666666666667,5.764666666666667,5.977166666666666,6.293433333333334,5.9302,2.6691000000000003,5.221666666666667,6.193366666666666,6.142399999999999,1.9786666666666666,2.5140000000000002,4.931033333333334,1.2117333333333333,1.1498,1.3645,5.674966666666666,5.9075,5.197166666666666,5.425666666666667,0.7052333333333334,5.687866666666666,4.0427,4.767066666666667,1.5249333333333333,5.609766666666667,1.9100333333333335,3.5158,4.850066666666667,5.622966666666667,5.5704666666666665,3.7697,5.064633333333333,5.5282333333333336,4.255633333333333,5.7748,5.671166666666666,1.4266333333333334,2.721966666666667,4.061333333333334,4.162533333333333,5.374266666666667,5.886033333333333,4.9362,2.4813,3.4779666666666667,5.3952333333333335,3.5746333333333333,5.421533333333333,2.3874333333333335,3.0234,0.7075333333333333,0.9867666666666667,0.7986,5.0315666666666665,2.4568999999999996,1.5508333333333333,2.7240666666666664,3.9474,4.153966666666666,3.5728333333333335,3.919366666666667,4.102366666666667,4.905766666666667,2.3421666666666665,1.9407,0.8963333333333333,5.537133333333333,0.9221333333333334,,5.414866666666667,5.658433333333334,3.2058666666666666,5.039733333333333,4.0521666666666665,1.8506333333333334,5.137266666666666,5.435566666666667,4.936966666666667,5.467766666666666
10:00,0.9141333333333334,3.7582333333333335,0.4025666666666667,0.9390666666666667,1.2598666666666667,3.123666666666667,6.1703,4.825466666666667,5.1174,3.1454333333333335,3.2475333333333336,0.6298333333333334,2.0160666666666667,1.2689,6.037033333333333,3.5456,5.4657,2.1635,5.4042,5.407166666666667,5.394666666666667,5.389799999999999,6.1095,5.426266666666667,5.437266666666667,4.992,1.5883,3.3622666666666663,5.449466666666667,1.0393333333333332,1.8384,1.4906666666666666,5.420566666666667,5.300166666666667,5.8335,5.6139,0.8566,5.449833333333333,6.221666666666667,4.999133333333333,1.2463666666666666,5.2594,0.8945000000000001,2.320266666666667,5.810933333333334,5.4097333333333335,5.425366666666666,3.4102333333333332,5.414366666666667,5.369933333333334,5.9311,5.382099999999999,5.203633333333333,1.1271666666666667,3.1789666666666667,5.123266666666667,5.497166666666667,3.9576,4.712599999999999,4.949366666666666,2.5418666666666665,3.322966666666667,5.341766666666667,2.905066666666667,3.866433333333333,5.4388,2.7111,1.1685666666666668,0.9645666666666667,1.5548666666666666,4.843233333333333,2.702733333333333,0.8942333333333334,2.2437666666666667,5.404933333333333,3.8345,5.308966666666667,3.9620666666666664,4.0261000000000005,5.183533333333333,2.283333333333333,1.4907000000000001,2.5958666666666668,4.167666666666666,1.0843333333333334,,4.851266666666667,4.335,2.0608666666666666,5.256066666666666,4.481933333333333,3.4631,5.175466666666667,4.104533333333333,4.2904333333333335,4.132866666666667
