,2025-03-24,2025-03-25,2025-03-26,2025-03-27
00:30,0.0,0.0,0.0,0.0
01:00,0.0,0.0,0.0,0.0
01:30,0.0,0.0,0.0,0.0
02:00,0.0,0.0,0.0,0.0
02:30,0.0,0.0,0.0,0.0
03:00,0.0,0.0,0.0,0.0
03:30,0.0,0.0,0.0,0.0
04:00,0.0,0.0,0.0,0.0
04:30,0.0,0.0,0.0,0.0
05:00,0.0,0.0,0.0,0.0
05:30,0.0,0.0,0.0,0.0
06:00,0.0,0.0,0.0,0.029333333333333333
06:30,0.016,,0.0,-4.238
07:00,0.029999999999999995,,0.0,-0.004
07:30,0.03,0.03,0.0,-0.012666666666666666
08:00,,0.028,0.0,-0.034
08:30,,0.028,0.0,-0.034666666666666665
09:00,,0.025333333333333333,0.0,0.014666666666666666
09:30,,0.029,0.0,0.10933333333333334
10:00,0.08523809523809524,0.008,0.0,0.16533333333333333
10:30,0.13366666666666666,-0.001,0.0,0.13066666666666665
11:00,0.14666666666666667,0.0,0.0,0.254
11:30,0.065,-0.01,0.0,2.5
12:00,0.14866666666666667,-0.008,0.0,2.594
12:30,0.3573333333333333,-0.009000000000000001,0.0,0.38533333333333336
13:00,0.409,-0.001,0.0,0.24066666666666667
13:30,0.08133333333333333,0.0,0.0,0.30533333333333335
14:00,0.032,-0.010333333333333333,0.0,0.24733333333333335
14:30,0.128,-0.006,0.0,0.17333333333333334
15:00,0.084,-0.0013333333333333333,0.0,0.06466666666666668
15:30,0.02,-0.010333333333333333,0.0,0.012666666666666666
16:00,0.027333333333333334,-0.02,0.0,-0.019666666666666666
16:30,-0.016,-0.016666666666666666,0.0,-4.970666666666667
17:00,-0.02766666666666667,-0.012,0.0,-4.851333333333333
17:30,-0.005,0.0,0.0,-0.16033333333333333
18:00,0.0,0.0,0.0,0.0
18:30,0.0,0.0,0.0,0.0
19:00,0.0,0.0,0.0,0.0
19:30,0.0,0.0,0.0,0.0
20:00,0.0,0.0,0.0,0.0
20:30,0.0,0.0,0.0,0.0
21:00,0.0,0.0,0.0,0.0
21:30,0.0,0.0,0.0,0.0
22:00,0.0,0.0,0.0,0.0
22:30,0.0,0.0,0.0,0.0
23:00,0.0,0.0,0.0,0.0
23:30,0.0,0.0,0.0,0.0
24:00,0.0,0.0,0.0,0.0
