,2025-03-27,2025-03-28,2025-03-29,2025-03-30,2025-03-31
00:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.03
01:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
01:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
02:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
02:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
03:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
03:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
04:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
04:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
05:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
05:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
06:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
06:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
07:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
07:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
08:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
08:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
09:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
09:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
10:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
10:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
11:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
11:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
12:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
12:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
13:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
13:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
14:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
14:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
15:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
15:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
16:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
16:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
17:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
17:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
18:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
18:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
19:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
19:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
20:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
20:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
21:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
21:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
22:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
22:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
23:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
23:30,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
24:00,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,
