,2025-03-26,2025-03-28,2025-03-31,2025-04-03,2025-04-05,2025-04-07,2025-04-10,2025-04-12,2025-04-13,2025-04-15,2025-04-17,2025-04-18,2025-04-21,2025-04-22,2025-04-28,2025-05-02,2025-05-03,2025-05-05,2025-05-06,2025-05-07,2025-05-10,2025-05-11,2025-05-12,2025-05-13,2025-05-14,2025-05-16,2025-05-18,2025-05-19,2025-05-24,2025-05-25,2025-05-26,2025-05-28,2025-06-02,2025-06-03,2025-06-07,2025-06-08,2025-06-09,2025-06-14,2025-06-24,2025-06-30,2025-07-01,2025-07-03,2025-07-05,2025-07-07,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-30,2025-08-01,2025-08-04,2025-08-06,2025-08-10,2025-08-11,2025-08-13,2025-08-17,2025-08-18,2025-08-23,2025-08-26,2025-08-27,2025-08-29,2025-09-02,2025-09-07
00:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0009666666666666667,-0.001,-0.001,-0.0009,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0008,-0.0008333333333333334,-0.0006000000000000001,-0.001,-0.001,-0.0009666666666666667,-0.0005666666666666667,-0.0009,-0.0003333333333333333,-0.0004,-0.00036666666666666667,-0.0005,-0.0005333333333333334,-0.00023333333333333333,-0.0006666666666666666,-0.00013333333333333334,-0.00023333333333333333,0.006,0.0,-0.00023333333333333333,0.003833333333333333,0.0115,-0.0001,-0.0002,0.0055000000000000005,0.0018,0.0,0.0,0.0,0.0030666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.0005333333333333334,-0.00036666666666666667,-0.0005,0.001333333333333333,0.005033333333333334,-0.00023333333333333333,0.0342,0.018633333333333335,0.12673333333333334,0.008700000000000001,-0.0003333333333333333,0.0004,0.0207,0.0,0.0805,0.06946666666666666,0.1173,0.015633333333333332,0.008333333333333333,0.03846666666666666,0.0,0.0687,0.0628,0.1527,0.1349,0.0649,0.16086666666666666,0.09626666666666667,0.08943333333333332,0.03833333333333333,0.10166666666666666,0.10206666666666667,0.08336666666666666,0.04003333333333334,0.08106666666666666,0.09353333333333333,0.0015,0.0,0.016866666666666665,0.019366666666666664,0.011733333333333333,0.08786666666666668,0.0183,0.0,0.0,0.0098,0.0023000000000000004,0.0,,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:30,-0.0005666666666666667,-0.0007,-0.0002666666666666667,-0.00023333333333333333,0.015000000000000001,0.0009,0.0394,,,0.0269,0.11660000000000001,0.0139,0.10990000000000001,0.15313333333333334,0.04190000000000001,0.3400666666666667,0.18276666666666666,0.36363333333333336,0.10993333333333334,0.0,0.037366666666666666,0.34906666666666664,0.030533333333333336,0.34143333333333337,0.5269,0.5138333333333334,0.18256666666666668,0.056633333333333334,0.17306666666666667,0.04466666666666667,0.3167,0.3235,0.44943333333333335,0.5295666666666666,0.3451666666666667,0.43776666666666664,0.40663333333333335,0.2174,0.17633333333333334,0.3476666666666667,0.3455666666666667,0.2,0.15223333333333333,0.33203333333333335,0.0915,0.0224,0.045766666666666664,0.06773333333333334,0.0569,0.30066666666666664,0.29266666666666663,0.22713333333333333,0.07096666666666666,0.047933333333333335,0.13383333333333333,0.03956666666666667,0.0066,,0.15553333333333336,0.12186666666666666,0.042,0.16796666666666665,0.029266666666666667,0.0,0.0098,0.018400000000000003,0.02283333333333333
06:00,0.013066666666666667,0.0,0.19936666666666666,0.030600000000000002,0.3418333333333334,0.17173333333333335,0.4623333333333333,,,0.2636,0.5171333333333333,0.13,0.31673333333333337,0.6085333333333334,0.21363333333333331,0.9849666666666667,0.5175,0.9345666666666667,0.40393333333333337,0.0123,0.12766666666666668,0.6352333333333333,0.10046666666666668,0.8611,0.9762333333333333,0.766,0.4878666666666666,0.1532333333333333,0.4157666666666667,0.0719,0.7349666666666667,0.5014333333333333,1.0346333333333333,0.9997,0.9376,0.8169000000000001,0.9032,0.2992,0.47523333333333334,0.7284666666666666,0.5928666666666668,0.5279,0.30743333333333334,0.8505,0.2366,0.06319999999999999,0.13696666666666665,0.0767,0.22456666666666666,0.7897333333333333,0.3611333333333333,0.9117333333333334,0.5335,0.2827,0.3685,0.4328,0.12056666666666667,,0.44906666666666667,0.49646666666666667,0.10236666666666668,0.6069666666666667,0.17976666666666666,0.14903333333333332,0.29009999999999997,0.3031,0.2799333333333333
06:30,0.3328666666666667,0.05126666666666667,0.7968333333333334,0.22203333333333336,0.9207666666666667,0.4781666666666667,0.8719666666666667,,,0.5208,1.3376333333333332,0.5751333333333334,1.0681333333333332,1.4792333333333334,0.3917333333333334,1.7403333333333333,1.6194333333333333,1.6976,0.5178,0.051866666666666665,0.14496666666666666,2.0843,0.2413,1.7681666666666667,1.4713666666666667,1.1154333333333333,0.9413,0.23986666666666664,0.8459333333333333,0.486,1.1643333333333332,0.705,1.9666,1.6297,1.8339,1.0513333333333332,1.7950000000000002,0.46473333333333333,0.6805,1.2706333333333333,0.5221,1.4886000000000001,0.5004666666666666,0.9384333333333333,0.45403333333333334,0.1653666666666667,0.19240000000000002,0.2912,0.36206666666666665,0.4997,0.587,1.2101,1.5972,0.3327666666666667,0.43646666666666667,0.2419666666666667,0.14423333333333332,,0.8989333333333334,0.6139,0.4018666666666667,1.0390333333333333,0.42113333333333336,0.7185333333333334,1.0558,0.8821666666666667,0.7188333333333333
