,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09
00:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:30,0.0,0.005333333333333333,0.0,0.0,0.0023333333333333335,0.0,0.0,0.004
07:00,0.0,1.0893333333333333,0.006333333333333333,0.005333333333333333,0.0026666666666666666,0.189,0.004,0.1756666666666667
07:30,0.0,2.2893333333333334,0.042,0.008333333333333333,0.73,0.5873333333333334,0.3606666666666667,1.502
08:00,0.0026666666666666666,2.917333333333333,1.03,0.56,2.1076666666666664,0.73,0.8536666666666667,2.2366666666666664
08:30,0.006333333333333333,3.4823333333333335,1.7166666666666666,1.2510000000000001,1.3733333333333335,3.719333333333333,1.1353333333333333,2.54
09:00,1.235,4.872,1.6863333333333332,2.272666666666667,1.7433333333333332,2.445333333333333,3.0193333333333334,2.8056666666666668
09:30,1.1793333333333333,4.774666666666667,2.3543333333333334,2.874,2.159666666666667,2.1053333333333333,3.6616666666666666,4.093
10:00,1.4669999999999999,6.110333333333333,5.912,2.1153333333333335,4.465,0.956,6.521333333333333,5.139333333333334
10:30,3.35,7.133666666666667,6.610333333333333,1.6563333333333332,2.7423333333333333,0.3453333333333333,7.036333333333333,4.2476666666666665
11:00,3.048666666666667,5.951333333333333,3.7190000000000003,2.6496666666666666,3.4376666666666664,0.9286666666666666,6.8293333333333335,4.514444444444445
11:30,1.3866666666666667,6.504666666666667,6.6146666666666665,4.810999999999999,7.234333333333334,1.1239999999999999,7.332,
12:00,1.2169999999999999,6.8933333333333335,4.525,3.795666666666667,4.537333333333334,0.049,7.2379999999999995,
12:30,1.2553333333333332,6.769333333333334,6.905333333333333,7.063,3.4703333333333335,1.0923333333333332,6.239999999999999,
13:00,1.0696666666666665,7.258666666666667,6.216333333333334,5.277,4.775,1.0916666666666666,6.210666666666667,
13:30,1.471,6.866666666666666,4.399666666666667,3.9803333333333333,1.2776666666666665,0.24466666666666667,2.8136666666666668,
14:00,2.2006666666666663,6.232666666666666,2.605,3.7573333333333334,4.045333333333334,0.004666666666666667,4.733666666666666,
14:30,1.5466666666666666,5.489999999999999,3.6293333333333333,2.7746666666666666,4.394,0.0,5.23,
15:00,1.4816666666666665,3.3503333333333334,0.9923333333333333,1.7536666666666667,2.2783333333333333,0.001,1.2236666666666667,
15:30,0.31166666666666665,3.661,0.782,1.0333333333333334,1.5583333333333333,0.0023333333333333335,0.28633333333333333,
16:00,0.501,2.3766666666666665,0.8956666666666667,0.513,0.4406666666666667,0.0,0.004666666666666667,
16:30,0.0,0.8276666666666667,0.01966666666666667,0.0,0.005333333333333333,0.0,0.0033333333333333335,
17:00,0.0,0.125,0.0,0.0,0.0,0.0,0.0,
17:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
