,2025-03-24,2025-03-25,2025-03-26,2025-03-27
00:30,0.0,0.0,0.0,0.0
01:00,0.0,0.0,0.0,0.0
01:30,0.0,0.0,0.0,0.0
02:00,0.0,0.0,0.0,0.0
02:30,0.0,0.0,0.0,0.0
03:00,0.0,0.0,0.0,0.0
03:30,0.0,0.0,0.0,0.0
04:00,0.0,0.0,0.0,0.0
04:30,0.0,0.0,0.0,0.0
05:00,0.0,0.0,0.0,0.0
05:30,0.0,0.0,0.0,0.0
06:00,0.0,0.0,0.0,0.0
06:30,0.0,,0.0,0.078
07:00,0.0,,0.5853333333333333,0.9593333333333334
07:30,0.0,0.0,1.732,2.042
08:00,,0.0033333333333333335,2.7569999999999997,1.635
08:30,,0.0033333333333333335,3.8613333333333335,1.649
09:00,,0.005666666666666667,4.880666666666667,3.6266666666666665
09:30,,0.010666666666666666,5.385000000000001,5.507000000000001
10:00,3.7538095238095237,0.711,5.594333333333334,6.2603333333333335
10:30,4.456666666666666,1.0343333333333333,6.556333333333333,5.552333333333333
11:00,4.593,0.8983333333333333,6.461333333333333,7.132000000000001
11:30,3.3856666666666664,1.2006666666666665,5.509,7.790333333333334
12:00,5.096666666666667,0.9826666666666667,5.071,7.816333333333334
12:30,7.346333333333333,1.3626666666666667,4.275,7.2796666666666665
13:00,8.244,1.6066666666666667,5.296,6.2876666666666665
13:30,4.19,1.73,5.429,7.300666666666667
14:00,3.5949999999999998,1.523,6.142333333333334,6.668
14:30,5.527333333333333,1.4556666666666667,4.851,5.951333333333333
15:00,4.767333333333334,1.6280000000000001,1.9746666666666668,4.482666666666666
15:30,3.3939999999999997,1.4576666666666669,1.0753333333333333,3.2336666666666667
16:00,3.8913333333333333,1.282,0.6796666666666666,1.4969999999999999
16:30,1.9383333333333332,1.1423333333333334,0.43533333333333335,0.98
17:00,0.6646666666666667,0.6856666666666666,0.0,0.169
17:30,0.005333333333333333,0.0,0.0,0.0
18:00,0.0,0.0,0.0,0.0
18:30,0.0,0.0,0.0,0.0
19:00,0.0,0.0,0.0,0.0
19:30,0.0,0.0,0.0,0.0
20:00,0.0,0.0,0.0,0.0
20:30,0.0,0.0,0.0,0.0
21:00,0.0,0.0,0.0,0.0
21:30,0.0,0.0,0.0,0.0
22:00,0.0,0.0,0.0,0.0
22:30,0.0,0.0,0.0,0.0
23:00,0.0,0.0,0.0,0.0
23:30,0.0,0.0,0.0,0.0
24:00,0.0,0.0,0.0,0.0
