,2025-03-27,2025-03-28,2025-03-29,2025-03-30,2025-03-31
00:30,8.525,0.0,0.0,0.0,0.0
01:00,8.525,0.0,0.0,0.0,
01:30,8.525,0.0,0.0,0.0,
02:00,8.525,0.0,0.0,0.0,
02:30,8.525,0.0,0.0,0.0,
03:00,8.525,0.0,0.0,0.0,
03:30,8.525,0.0,0.0,0.0,
04:00,8.525,0.0,0.0,0.0,
04:30,8.525,0.0,0.0,0.0,
05:00,8.525,0.0,0.0,0.0,
05:30,8.525,0.0,0.0,0.0,
06:00,8.525,0.0,0.0,0.0,
06:30,8.525,0.0,0.0,0.0,
07:00,8.525,0.0,0.0,0.0,
07:30,8.525,0.0,0.0,0.0,
08:00,8.525,0.0,0.0,0.0,
08:30,8.525,0.0,0.0,0.0,
09:00,8.525,0.0,0.0,0.0,
09:30,8.525,0.0,0.0,0.0,
10:00,8.525,0.0,0.0,0.0,
10:30,8.525,0.0,0.0,0.0,
11:00,8.525,0.0,0.0,0.0,
11:30,8.525,0.0,0.0,0.0,
12:00,8.525,0.0,0.0,0.0,
12:30,8.525,0.0,0.0,0.0,
13:00,8.525,0.0,0.0,0.0,
13:30,8.525,0.0,0.0,0.0,
14:00,0.5683333333333334,0.0,0.0,0.0,
14:30,0.0,0.0,0.0,0.0,
15:00,0.0,0.0,0.0,0.0,
15:30,0.0,0.0,0.0,0.0,
16:00,0.0,0.0,0.0,0.0,
16:30,0.0,0.0,0.0,0.0,
17:00,0.0,0.0,0.0,0.0,
17:30,0.0,0.0,0.0,0.0,
18:00,0.0,0.0,0.0,0.0,
18:30,0.0,0.0,0.0,0.0,
19:00,0.0,0.0,0.0,0.0,
19:30,0.0,0.0,0.0,0.0,
20:00,0.0,0.0,0.0,0.0,
20:30,0.0,0.0,0.0,0.0,
21:00,0.0,0.0,0.0,0.0,
21:30,0.0,0.0,0.0,0.0,
22:00,0.0,0.0,0.0,0.0,
22:30,0.0,0.0,0.0,0.0,
23:00,0.0,0.0,0.0,0.0,
23:30,0.0,0.0,0.0,0.0,
24:00,0.0,0.0,0.0,0.0,
