,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09
00:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:30,6.666666666666667e-05,0.0,0.0,0.0,0.0,0.0,0.0
05:00,0.0559,0.0020666666666666667,0.018666666666666668,0.0,0.0,0.0,0.0
05:30,0.2705666666666667,0.034333333333333334,0.15186666666666668,0.0925,0.044366666666666665,0.027866666666666665,0.0013666666666666664
06:00,0.40163333333333334,0.5602666666666667,0.40356666666666663,0.5712333333333334,0.47050000000000003,0.31483333333333335,0.05796666666666666
06:30,0.8190000000000001,0.13173333333333334,0.6703,1.034,1.0155666666666667,0.9242333333333334,0.18760000000000002
07:00,1.0614,0.08186666666666667,1.2981666666666667,2.1396333333333333,2.256,2.3131,0.5670999999999999
07:30,1.8611333333333335,0.19993333333333335,3.5642,3.308,3.4031333333333333,3.4591,0.5784333333333334
08:00,3.656966666666667,0.3958333333333333,4.528066666666667,2.4958666666666667,4.221166666666667,4.414633333333333,0.9069333333333333
08:30,5.381733333333333,0.34336666666666665,5.350899999999999,4.3996,4.317333333333334,5.291799999999999,1.2734333333333334
09:00,4.969266666666667,0.3322333333333333,5.4376,4.5719666666666665,4.169,5.349266666666667,0.9260999999999999
09:30,2.4418333333333333,0.3087,3.220566666666667,3.2858333333333336,1.9125333333333332,3.1403000000000003,0.45036666666666664
10:00,3.8983666666666665,0.49566666666666664,3.1737333333333333,4.476833333333333,2.1052333333333335,2.7477666666666667,0.3035
10:30,3.9423000000000004,0.9597,4.854233333333334,2.2913666666666668,1.8198,4.513633333333333,0.3680333333333333
11:00,4.3709333333333324,1.8123333333333334,3.6436333333333333,4.408966666666667,2.0142333333333333,4.232833333333334,0.5840333333333334
11:30,4.3285,1.4279333333333333,3.4983999999999997,2.1724,1.9963333333333333,2.9982666666666664,2.4888666666666666
12:00,4.118366666666667,2.183,4.822666666666667,3.8449666666666666,2.6142,4.0869333333333335,4.4561
12:30,4.372433333333333,1.7643666666666666,2.5039666666666665,4.4504,3.9336333333333333,2.6227,4.955433333333334
13:00,1.5222333333333333,2.769,3.6262,4.079733333333333,4.5131,4.251766666666667,3.016
13:30,2.4433333333333334,3.4793,3.8432000000000004,4.136466666666666,2.5359666666666665,2.6262666666666665,2.815933333333333
14:00,2.2555666666666667,2.9372666666666665,1.992,1.5337333333333334,4.6962,4.4197999999999995,0.9812333333333334
14:30,2.5471,1.6158666666666666,1.5996,4.1248,2.285566666666667,1.8833333333333333,0.37723333333333336
15:00,2.4039,1.1022333333333334,1.6251666666666666,2.5453333333333332,3.9894666666666665,0.8266333333333333,0.8247333333333333
15:30,1.7879,0.19523333333333334,1.5286333333333333,3.4191333333333334,4.088733333333334,0.7849666666666667,1.4874333333333332
16:00,1.6889,0.016033333333333333,1.1697,2.3289666666666666,3.4887333333333337,0.2672333333333333,1.0293333333333332
16:30,1.2440333333333333,0.3495666666666667,2.1711666666666667,2.2083333333333335,2.276933333333333,0.30429999999999996,0.9822000000000001
17:00,0.8711666666666666,1.1781333333333335,1.8446666666666667,1.6428333333333334,1.0751333333333333,0.2485,0.5047333333333334
17:30,0.6881333333333333,0.8717333333333334,0.4925333333333333,0.7686333333333334,0.4971666666666667,0.03666666666666667,0.11703333333333334
18:00,0.4891333333333333,0.30296666666666666,0.1679,0.40299999999999997,0.0925,0.0,0.02596666666666667
18:30,0.29560000000000003,0.03056666666666667,0.029733333333333334,0.064,0.004433333333333333,0.0,0.0
19:00,0.024233333333333332,0.0,0.0,0.0,0.0,0.0,0.0
19:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
